review_order,review_priority,selection_reasons,source_id,dev_row_id,stable_group_id,instruction,ground_truth_intent,ground_truth_needs_human,lora_intent,lora_needs_human,lora_response,heuristic_risk_flags,lora_error_tags,review_relevance,review_fabrication,review_unsupported_action,review_sensitive_data,review_unnecessary_escalation,review_overall,review_note
11,4,risk:unsupported_action_completion,26316,dev_299,719f883dbfac18b9af17b7464e8f31c596bb79dfa9aaf65707195864378ff873,how to see the reimbursement current status,track_refund,False,track_refund,False,"I'm on it! I'm here to assist you in checking the current status of your reimbursement. To view the current status, you can visit the ""My Account"" section on our website. There, you will find an option to view your pending refunds or refunds that are currently being processed. Simply log in to your account and navigate to the ""My Account"" page. From there, you should be able to see the status of your reimbursement. If you have any further questions or need additional assistance, please feel free to let me know. I'm here to help you every step of the way!",unsupported_action_completion,,,,,,,,
12,5,risk:unnecessary_escalation;escalation_false_positive,791,dev_040,64c78c274007a59e15c4328f8076549c69239a98808d9ea05de70139a1e65272,i cannot pay for these product how do i cancel the order,cancel_order,False,cancel_order,True,"I'm sorry to hear that you're unable to make the payment for the products you purchased. I understand that you may have encountered difficulties or concerns during the payment process. To assist you with canceling the order, I recommend reaching out to our customer support team directly. They will be able to guide you through the cancellation process and provide you with the necessary steps to proceed. Please provide them with the order number or any other relevant details, and they will assist you further. Thank you for your cooperation and understanding.",unnecessary_escalation,wrong_needs_human,,,,,,,
13,5,risk:unnecessary_escalation;escalation_false_positive,6623,dev_086,c3379a290b71235ffce143c16eadca2ffcfca5044304335899c04f47b96825f7,in what situations can I request to be refunded ?,check_refund_policy,False,get_refund,True,"We understand that you may have encountered an issue that requires a refund. We apologize for any inconvenience caused. To request a refund, you can reach out to our customer support team either through our website or by calling our dedicated helpline. Our team will assist you in processing the refund and ensure that your concerns are addressed promptly. We appreciate your patience and cooperation in this matter.",unnecessary_escalation,wrong_intent;wrong_needs_human,,,,,,,
14,5,risk:unnecessary_escalation;escalation_false_positive,6643,dev_085,38e850fdd82bd11b0cfc962b183d298295530496ba9fe45ec73db09f154b388b,can I see in which cases can I ask for a reimbursement?,check_refund_policy,False,get_refund,True,"I'm here to help! I'm here to assist you in understanding the cases in which you can ask for a reimbursement. To better assist you, could you please provide more details about the situation or the specific circumstances leading to the need for a reimbursement? This will help me provide you with the most accurate information and guide you on the appropriate steps to take. Your feedback is valuable to us, and I'm committed to ensuring your satisfaction.",unnecessary_escalation,wrong_intent;wrong_needs_human,,,,,,,
15,5,risk:unnecessary_escalation;escalation_false_positive,22360,dev_146,5d1a7aed6236a4ba2f98ea13cd6d4cff519c0261563202d723f9668b5381383d,is there an address to leave a comment for a service?,review,False,contact_customer_service,True,"Thank you for reaching out! I'm here to assist you in leaving a comment for our service. To do so, you can visit our website and navigate to the contact page. From there, you can find the option to leave a comment or message. Please provide us with the necessary details, such as your name, email address, and a brief message or question. We appreciate your feedback and look forward to hearing from you.",unnecessary_escalation,wrong_intent;wrong_category;wrong_needs_human,,,,,,,
16,5,risk:unnecessary_escalation;escalation_false_positive,22739,dev_269,4240e5b57c746ed794f61ba8558bbfb819b78cfd5219632ebd6717fbc5112f73,assistance to write a comment for ur company,review,False,contact_human_agent,True,"Thank you for reaching out! I'm here to assist you in writing a comment for our company. To get started, could you please provide me with the specific details of the comment you would like to write? This will help me guide you through the process and ensure that your comment is tailored to your needs. Your feedback is valuable to us, and I'm committed to making your experience as smooth and informative as possible.",unnecessary_escalation,wrong_intent;wrong_category;wrong_needs_human,,,,,,,
17,5,risk:unnecessary_escalation;escalation_false_positive,24269,dev_035,11f4957dcea9109a08ab5a1e41cdb84e338682efcc07a94fc070c157860e73cf,assistance using the standard profile,switch_account,False,contact_human_agent,True,"Thank you for reaching out! I'm here to assist you with using the standard profile. To get started, could you please provide me with your contact details? This will allow me to connect you with the appropriate person who can guide you through the process. Rest assured, I'm here to ensure a seamless experience for you.",unnecessary_escalation,wrong_intent;wrong_category;wrong_needs_human,,,,,,,
18,6,manual_qa_seed_42,1261,dev_257,e5ae2431129b29805aa8ff7f2f4c79b23dbeabccb21ca32f9a32a7c37b9aff5c,change purxhase {{Order Number}},change_order,False,change_order,False,"I'm on the same page that you're looking to make changes to your purchase with the order number {{Order Number}}. To assist you with this, could you please provide more details about the specific changes you would like to make? This will help us ensure that we address your concerns effectively and provide you with the best possible experience. Thank you for reaching out to us, and we appreciate your patience as we work together to resolve any issues you may have.",,,,,,,,,
19,6,manual_qa_seed_42,1274,dev_108,e5ae2431129b29805aa8ff7f2f4c79b23dbeabccb21ca32f9a32a7c37b9aff5c,change purxhase {{Order Number}},change_order,False,change_order,False,"I'm on the same page that you're looking to make changes to your purchase with the order number {{Order Number}}. To assist you with this, could you please provide more details about the specific changes you would like to make? This will help us ensure that we address your concerns effectively and provide you with the best possible experience. Thank you for reaching out to us, and we appreciate your patience as we work together to resolve any issues you may have.",,,,,,,,,
20,6,risk:unnecessary_escalation;manual_qa_seed_42,4644,dev_191,2e3e933e5d884cb9f73bae60e50a893e62c193998dab87718253deb529a830dc,see the damn bills from {{Person Name}},check_invoice,False,get_invoice,False,"I'm on it! I'm here to assist you in accessing the bills from {{Salutation}} {{Client Last Name}}. To view the bills, you can log in to your account on our website and navigate to the ""Billing"" or ""Invoices"" section. Alternatively, you can reach out to our customer support team through our live chat or phone number, and they will be able to provide you with the necessary information. If you have any other questions or concerns, feel free to let me know. I'm here to help you every step of the way!",unnecessary_escalation,wrong_intent,,,,,,,
21,6,risk:unnecessary_escalation;manual_qa_seed_42,6159,dev_154,e6f728db1ac538d40ce2290a34f802b8958d830e2bb61b4ae942b57790f7f727,assistance to check in which cases can i request a refund,check_refund_policy,False,check_refund_policy,False,"I'm here to assist you in understanding the cases in which you can request a refund. Our refund policy is designed to ensure fairness and customer satisfaction. Here are the general scenarios in which you can request a refund: 1. **Product/Service Defect:** If you receive a product or service that is defective or does not meet the advertised specifications, you are eligible for a refund. 2. **Cancellation within Grace Period:** If you decide to cancel your purchase within the grace period specified in our terms and conditions, you should be able to request a refund. 3. **Unauthorized Charges:** If you notice any charges on your account that you did not authorize, please reach out to us immediately. We will investigate the situation and assist you in resolving the issue. 4. **Duplicate Charges:** If you receive duplicate charges for the same product or service, please inform us so that we can investigate and rectify the situation. 5. **Non-receipt of Goods:** If you have not received the product or service within the expected delivery timeframe, please contact our customer support team. We will assist you in resolving the issue and providing a refund if necessary. It's important to note that the specific refund policy may vary depending on the product or service you purchased. We recommend reviewing the terms and conditions of your purchase or contacting our customer support for detailed information. If you have any specific concerns or questions regarding a particular purchase, please provide me with the necessary details, and I will be happy to assist you further.",unnecessary_escalation,,,,,,,,
22,6,manual_qa_seed_42,7602,dev_152,1df76ad7206d26e2c657be322a0d185f29afa3f89e6bdee7972ce1489218b627,I don't know how I can file a consumer claim,complaint,True,complaint,True,"I'm sorry to hear that you're unsure about how to file a consumer claim. I'm here to assist you in navigating this process and ensuring that your concerns are addressed. To file a consumer claim, you can reach out to our customer support team either through our website or by calling our dedicated helpline. They will guide you through the necessary steps and provide you with the required documentation to file your claim. Rest assured, we take consumer claims seriously and will work diligently to resolve any issues you may have.",,,,,,,,,
23,6,manual_qa_seed_42,8309,dev_288,6e86427540f00910633a6d159373d0f92a17296c5a2d90ccf4ed37b4ed94767b,I don't know what to do to speak with customer assistance,contact_customer_service,True,contact_customer_service,True,"I'm sorry to hear that you're unsure about how to reach our customer assistance team. Our dedicated team is here to help you every step of the way. To speak with a representative, you can reach out to our customer support hotline at {{Customer Support Phone Number}} or send an email to {{Customer Support Email}}. Our team is available {{Customer Support Hours}} to assist you. If you have any other questions or concerns, please feel free to let me know. I'm here to help you every step of the way.",,,,,,,,,
24,6,manual_qa_seed_42,10598,dev_105,5750ab6a601f2cdd6398cebcc0f4438e55188fa5fe7846c694e2635cf9fe2130,opening premium account for wife,create_account,False,create_account,False,"I'm thrilled to hear that you're looking to open a premium account for your wife! It's wonderful to see her enjoying the benefits of our exclusive membership. To get started, could you please provide me with her full name, email address, and a preferred username? Once I have these details, I'll guide you through the process of creating her premium account. Rest assured, we value your privacy and security, and we'll ensure that her account is well-protected throughout the entire process.",,,,,,,,,
25,6,manual_qa_seed_42,10729,dev_284,74a095a844415fa0e7f66b294694edca050d7d98b95644a9c2addec47bafc65c,i have problems with opening a pro account,create_account,False,create_account,False,"I'm sorry to hear that you're experiencing difficulties in opening a {{Account Type}} account. I understand how frustrating it can be when you encounter problems. To better assist you, could you please provide more details about the specific issues you're facing? This will help me identify the best course of action and provide you with the most suitable solution. Your feedback is valuable to us, and we're here to ensure a smooth account opening experience for you.",,,,,,,,,
26,6,manual_qa_seed_42,11215,dev_298,c14b9da59c7c0ea8b09c90805ff3835f031d8349273b6d150b2cab50dd362f5a,I have a problem with the deletion of a {{Account Type}} account,delete_account,True,delete_account,True,"I'm sorry to hear that you're experiencing difficulties with the deletion of your {{Account Type}} account. I understand how frustrating it can be to encounter problems during the account cancellation process. To better assist you, could you please provide more details about the specific issue you're facing? This will help me identify the best course of action and ensure that we address the problem promptly. Thank you for reaching out to us, and I appreciate your patience as we work together to resolve this matter.",,,,,,,,,
27,6,manual_qa_seed_42,11955,dev_264,a4901762ccace3fbc2bc73a3cfbe62213210fc9cf29c7ba7c3fe7568098d2349,I would like to see what goddamn delivery options I have,delivery_options,False,delivery_options,False,"I'm on it! I'm here to assist you in exploring our delivery options. To view the available delivery methods, please visit our website and navigate to the ""Delivery"" section. There, you will find a comprehensive list of our delivery options, including estimated delivery times, delivery areas, and any additional charges. If you have any specific questions or need further assistance, feel free to let me know. I'm here to help you make the most informed decision for your delivery needs.",,,,,,,,,
28,6,manual_qa_seed_42,12654,dev_209,25bf47e60e9dee34cffa7eeabf397522bde96045b17e14391a25d736b7e2d87f,"I need to see what damn shipment options I have, help me",delivery_options,False,delivery_options,False,"I'm on it! I'm here to assist you in exploring the shipment options available to you. To view the available shipping methods, please follow these steps: 1. Log in to your account on our website. 2. Navigate to the ""Shipping"" or ""Delivery"" section. 3. You should see a list of shipping options. 4. Click on the ""View All"" or ""See All"" button to expand the list. 5. You will be able to see all the available shipping methods, including ground shipping, express shipping, and international shipping. If you have any further questions or need additional assistance, feel free to let me know. I'm here to help you every step of the way!",,,,,,,,,
29,6,manual_qa_seed_42,12931,dev_217,37628b734df22ae12eae1fcccd6f368897a15d1855f476a87c19d72e968d46f0,how do i check how son can i expect my item,delivery_period,False,delivery_period,False,"We understand your curiosity about the estimated delivery time for your item. To provide you with the most accurate information, could you please provide us with the {{Tracking Number}} or {{Order Number}}? With this information, we can give you an estimated delivery date. We appreciate your patience and cooperation in this matter.",,,,,,,,,
30,6,manual_qa_seed_42,13721,dev_050,56ffefa0a26cd3797a6243b5da5ee5493cdb0f9a5f6311ab9ed62e28e2efd15c,"I have to check how soon can I expect my parcel, help me",delivery_period,False,delivery_period,False,"We understand your eagerness to track your parcel and know that you're eager to receive it as soon as possible. To provide you with the most accurate information, could you please provide us with the {{Tracking Number}} or {{Order Number}}? With this information, we'll be able to give you an estimated delivery date and update you on the progress of your parcel. Your patience is greatly appreciated, and we're here to assist you every step of the way.",,,,,,,,,
31,6,manual_qa_seed_42,14348,dev_078,2093bc1f3a4dfd7713383664d26c75908d29cd6bb89f3143140668f4533c455e,updating data on platinum account,edit_account,False,edit_account,False,"I'm happy to help! I understand that you need to update the data on your {{Account Category}} account. To ensure a smooth process, could you please provide me with the specific details you would like to update? This will allow me to assist you effectively and ensure that your account data is accurate and up-to-date. Thank you for your cooperation, and I look forward to helping you with your account updates.",,,,,,,,,
32,6,manual_qa_seed_42,16798,dev_189,e8e2dd54c243f0088fd0250e58b926511f7c896f0803bb43fb5bc60eda856627,how could i get a retsitution of my money,get_refund,True,get_refund,True,"I'm sorry to hear that you're seeking a refund for your money. I understand that you may have encountered an issue that prevented you from receiving the satisfaction you expected. To assist you in obtaining a refund, I recommend reaching out to our customer support team. They will be able to guide you through the process and provide you with the necessary information to initiate the refund. Rest assured, we are committed to resolving this matter and ensuring that you receive the compensation you deserve.",,,,,,,,,
33,6,manual_qa_seed_42,17102,dev_225,4fa052f71f5b86b29f59dbb4626b32df2b6a21054cdf1fd8e54425ba8c5082b4,wanna know about canceling the newsletter subscription,newsletter_subscription,False,newsletter_subscription,False,"I'm happy to help! I understand that you would like to know more about canceling your newsletter subscription. To do so, you can log in to your account and navigate to the ""Newsletter"" section. From there, you should be able to find the option to unsubscribe or cancel your subscription. If you have any further questions or need assistance with the process, please feel free to let me know. I'm here to help you every step of the way!",,,,,,,,,
34,6,manual_qa_seed_42,18218,dev_286,9548ae23795d2eb7da88a01a0cd672c3671f857bab06752f07573fd678cfacac,I want help to notify of errors with payments,payment_issue,True,payment_issue,True,"I'm sorry to hear that you're experiencing errors with your payments. I understand how frustrating it can be to receive notifications about these issues. To better assist you, could you please provide more details about the specific errors you're encountering? This will help me provide you with the most accurate guidance and support. Rest assured, I'm here to help you navigate through this and find a solution.",,,,,,,,,
35,6,manual_qa_seed_42,18289,dev_068,e4e87db67bac965e43011128cf3037f99e0313280ef87cc15e0c107ddaab97a1,can you help me notify of a payment issue?,payment_issue,True,payment_issue,True,"I'm sorry to hear that you're experiencing a payment issue. I'm here to assist you in notifying us about the problem. To better understand the issue, could you please provide more details about the specific error message or any other relevant information? This will help us investigate the problem and find a solution for you. Thank you for reaching out to us, and we appreciate your patience as we work together to resolve this payment issue.",,,,,,,,,
36,6,manual_qa_seed_42,19340,dev_069,b521782ffe442e5353a3bdf6ee999683ff0bd8d4cdc9ddbaa0b1fc662dbfcce9,i need assistance acquiring some rpoducts,place_order,False,place_order,False,"I'm happy to help! I'm here to assist you in acquiring the products you need. To get started, could you please provide me with the specific details of the products you are interested in? Once I have that information, I'll guide you through the process and ensure that you have a smooth and successful experience. Let's work together to make your purchase a breeze!",,,,,,,,,
37,6,risk:unnecessary_escalation;manual_qa_seed_42,19902,dev_228,639f1cb5df1cd1516e1287c24b4c8d81606fe0c52bd29a18267432dbe1187039,where can i find information about the pin code recovery,recover_password,False,recover_password,False,"I'm on it! I'm here to guide you on how to find information about pin code recovery. To recover your pin code, you can follow these steps: 1. Log in to your account on our website or app. 2. Navigate to the ""Account Settings"" or ""Security"" section. 3. Look for the ""Pin Code"" or ""PIN"" option. 4. Click on it to access the pin code recovery process. 5. Follow the on-screen instructions to reset your pin code. If you encounter any difficulties or have further questions, please don't hesitate to reach out to our customer support team. They are available {{Customer Support Hours}} at {{Customer Support Phone Number}} or through the Live Chat on our website at {{Website URL}}. We're here to assist you every step of the way.",unnecessary_escalation,,,,,,,,
38,6,risk:unnecessary_escalation;manual_qa_seed_42,19966,dev_115,3f26999543d1b85eb429d1e2145b91f8b686f1dc2ad00a84ac486d1dc4fb4427,I would like to recover the key of my user account,recover_password,False,recover_password,False,"I'm on it! I'm here to assist you in recovering the key of your user account. To initiate the recovery process, please follow these steps: 1. Visit the '{{Login Page URL}}' on our website. 2. Look for the '{{Forgot Password}}' or '{{Forgot Username}}' option and click on it. 3. You will be prompted to enter the email address or username associated with your user account. 4. Please provide the necessary information and click on the '{{Submit}}' button. 5. You will receive an email with instructions on how to reset your password. If you don't receive the email within a few minutes, please check your spam or junk folder. 6. Follow the instructions in the email to reset your password. If you encounter any difficulties or have further questions, please don't hesitate to reach out to our customer support team. We're here to help you every step of the way. Remember, your security is our top priority, and we're committed to ensuring a seamless recovery process for you.",unnecessary_escalation,,,,,,,,
39,6,manual_qa_seed_42,23115,dev_242,fb8a5adc7e5d719441e1b84246fb5e54fff1a3b9b1e22646b29c285df168a741,I need assistance to enter the new shipping address,set_up_shipping_address,False,change_shipping_address,False,"I'm here to help! I understand that you need assistance in entering the new shipping address. Please follow these steps: 1. Log in to your account on our website. 2. Navigate to the ""My Account"" or ""Profile"" section. 3. Look for the ""Shipping Addresses"" or ""Address Book"" option. 4. Click on it to view or edit your existing shipping addresses. 5. Locate the address you want to update and click on the ""Edit"" or ""Change"" button. 6. Fill in the details of the new shipping address in the provided fields. 7. Double-check all the information to ensure accuracy. 8. Save the changes by clicking on the ""Save"" or ""Update"" button. If you encounter any difficulties or have further questions, please don't hesitate to let me know. I'm here to assist you every step of the way.",,wrong_intent,,,,,,,
40,6,manual_qa_seed_42,23206,dev_074,de8ee0fd10be2325bed10eed5802dcdca27d9dadc531eadcd0de6820b877e368,I have troubles submitting the shipping address,set_up_shipping_address,False,change_shipping_address,False,"I'm sorry to hear that you're experiencing difficulties while submitting your shipping address. I understand how frustrating it can be to encounter issues during the process. To assist you better, could you please provide more details about the specific troubles you're facing? This will help me identify the best solution for you. Thank you for reaching out to us, and I'm here to help you resolve this matter.",,wrong_intent,,,,,,,
41,6,manual_qa_seed_42,23924,dev_294,ff5e9356c3682271451a78e0612819ed8f4e57249e48de8081bfa53a71e74d2f,using freemium account,switch_account,False,create_account,False,"I'm thrilled to hear that you're interested in using our {{Account Type}} account! It's fantastic to see your commitment to exploring our platform. To get started, could you please provide me with your full name, email address, and a preferred username? Once I have this information, I'll guide you through the process of creating your {{Account Type}} account and ensure you have all the necessary details to make the most of our platform. Let's embark on this exciting journey together!",,wrong_intent,,,,,,,
42,6,manual_qa_seed_42,25304,dev_139,270123efd2e01d2b3513809e4aed6a20e275334d9d68ecff76a64c355552bcd9,check the current status of purchase {{Order Number}},track_order,False,track_order,False,"I'm on the same page that you are, and I understand that you would like to check the current status of your purchase with the purchase number {{Order Number}}. To provide you with the most accurate information, could you please provide me with the {{Order Number}}? With that information, I will be able to assist you further and give you an update on the status of your purchase.",,,,,,,,,
43,6,manual_qa_seed_42,25309,dev_136,06b9a8041a2a7ecd1ccffeb49476d67162ba04a1e0b72a2dd3847eeb292ba51b,i need help checking the status or purchase {{Order Number}},track_order,False,track_order,False,"I'm on the same page that you need assistance in checking the status or purchase details for order number {{Order Number}}. To check the status of your order, you can visit the '{{Online Order Interaction}}' section on our website. There, you will find all the information you need, including the current status of your order. If you have any further questions or need further assistance, please feel free to let me know. I'm here to help you every step of the way.",,,,,,,,,
44,6,manual_qa_seed_42,25930,dev_184,16bfe043461257638eb7a45c7d01eaebee21f86c80cfadb65852a90f0a95f32d,help checking if there is anything wrong with the refund,track_refund,False,check_refund_policy,False,"I'm here to assist you in checking if there is anything wrong with the refund. To better assist you, could you please provide more details about the specific issue you are facing? This will help me identify the best course of action and provide you with the most accurate information. Your feedback is valuable to us, and we appreciate your patience as we work together to resolve this matter.",,wrong_intent,,,,,,,
45,6,manual_qa_seed_42,26623,dev_292,198db6d75c01093b5887ee0532caa56b349fd73f593b62807ed0b784aec6194c,I try to see my compensation current status,track_refund,False,check_cancellation_fee,False,"I'm on it! I'm here to assist you in checking the current status of your compensation. To view the details, please log in to your account and navigate to the ""Cancellation Fees"" section. There, you will find all the information regarding the current status of your compensation. If you have any further questions or need additional assistance, feel free to let me know. I'm here to help you every step of the way!",,wrong_intent;wrong_category,,,,,,,
46,7,risk:unnecessary_escalation,6,dev_024,51f3eee0e6c8fe9dd85591c31ec249d78d3fc3f69f7b2b276450ab20648f50e5,"I can no longer afford order {{Order Number}}, cancel it",cancel_order,False,cancel_order,False,"I'm sorry to hear that you're unable to afford order {{Order Number}}. I understand how frustrating it can be to cancel an order when you're facing financial constraints. To assist you with this, I recommend reaching out to our customer support team directly. They will be able to provide you with the necessary guidance and support to cancel your order. Rest assured, we are here to help you navigate this situation and ensure a smooth resolution.",unnecessary_escalation,,,,,,,,
