source_index,instruction,ground_truth_intent,ground_truth_category,ground_truth_needs_human,base_output,lora_output,base_error_tags,lora_error_tags
4644,see the damn bills from {{Person Name}},check_invoice,INVOICE,False,"{
  ""intent"": ""check_invoice"",
  ""category"": ""INVOICE"",
  ""needs_human"": false,
  ""response"": ""I'm sorry, but I don't have access to your personal information or any of your bills. Please provide more details so I can assist you better.""
}","{""intent"":""get_invoice"",""category"":""INVOICE"",""needs_human"":false,""response"":""I'm on it! I'm here to assist you in accessing the bills from {{Salutation}} {{Client Last Name}}. To view the bills, you can log in to your account on our website and navigate to the \""Billing\"" or \""Invoices\"" section. Alternatively, you can reach out to our customer support team through our live chat or phone number, and they will be able to provide you with the necessary information. If you have any other questions or concerns, feel free to let me know. I'm here to help you every step of the way!""}",,wrong_intent
23206,I have troubles submitting the shipping address,set_up_shipping_address,SHIPPING,False,"{
  ""intent"": ""shipping_address"",
  ""category"": ""DELIVERY"",
  ""needs_human"": false,
  ""response"": ""We're sorry to hear that you're having trouble submitting your shipping address. Please try again. If the issue persists, you can contact our customer service for further assistance.""
}","{""intent"":""change_shipping_address"",""category"":""SHIPPING"",""needs_human"":false,""response"":""I'm sorry to hear that you're experiencing difficulties while submitting your shipping address. I understand how frustrating it can be to encounter issues during the process. To assist you better, could you please provide more details about the specific troubles you're facing? This will help me identify the best solution for you. Thank you for reaching out to us, and I'm here to help you resolve this matter.""}",wrong_intent;wrong_category;invalid_enum,wrong_intent
6268,hlp seeing ur money back guarantee,check_refund_policy,REFUND,False,"{
  ""intent"": ""refund"",
  ""category"": ""REFUND"",
  ""needs_human"": false,
  ""response"": ""We're sorry to hear that you're experiencing issues with your payment. To help you recover your funds, we've implemented a money-back guarantee. Please provide your order number so we can process the refund for you. If you need any further assistance, feel free to contact our customer service team.""
}","{""intent"":""get_refund"",""category"":""REFUND"",""needs_human"":true,""response"":""I'm sorry to hear that you're experiencing difficulties in seeing your money back. Our company is committed to ensuring a smooth refund process for our customers. To better assist you, could you please provide more details about the specific issue you're facing? This will help us identify the best course of action and ensure that your money is refunded as quickly as possible. Thank you for your cooperation and patience.""}",wrong_intent;invalid_enum,wrong_intent;wrong_needs_human
18218,I want help to notify of errors with payments,payment_issue,PAYMENT,True,"{
  ""intent"": ""payment_issue"",
  ""category"": ""PAYMENT"",
  ""needs_human"": false,
  ""response"": ""We're here to help. If you're experiencing issues with your payment, please provide more details so we can assist you better. This includes the payment method you're using, the error message you're receiving, and any other relevant information. We'll get back to you as soon as possible.""
}","{""intent"":""payment_issue"",""category"":""PAYMENT"",""needs_human"":true,""response"":""I'm sorry to hear that you're experiencing errors with your payments. I understand how frustrating it can be to receive notifications about these issues. To better assist you, could you please provide more details about the specific errors you're encountering? This will help me provide you with the most accurate guidance and support. Rest assured, I'm here to help you navigate through this and find a solution.""}",wrong_needs_human,
11215,I have a problem with the deletion of a {{Account Type}} account,delete_account,ACCOUNT,True,"{
  ""intent"": ""registration_problems"",
  ""category"": ""ACCOUNT"",
  ""needs_human"": false,
  ""response"": ""We're sorry to hear that you're experiencing issues with your {{Account Type}} account. To help resolve this, we need more information. Could you please provide details on what problem you're facing? This will help us better understand the situation and provide a solution. Thank you for your patience and understanding.""
}","{""intent"":""delete_account"",""category"":""ACCOUNT"",""needs_human"":true,""response"":""I'm sorry to hear that you're experiencing difficulties with the deletion of your {{Account Type}} account. I understand how frustrating it can be to encounter problems during the account cancellation process. To better assist you, could you please provide more details about the specific issue you're facing? This will help me identify the best course of action and ensure that we address the problem promptly. Thank you for reaching out to us, and I appreciate your patience as we work together to resolve this matter.""}",wrong_intent;wrong_needs_human,
16798,how could i get a retsitution of my money,get_refund,REFUND,True,"{
  ""intent"": ""REFUND"",
  ""category"": ""REFUND"",
  ""needs_human"": false,
  ""response"": ""To get a refund of your money, you can follow these steps:\n1. Log in to your account.\n2. Go to the 'My Account' or 'My Orders' section.\n3. Find the order you want to return.\n4. Click on the 'Return' or 'Refund' option.\n5. Fill in the necessary details and upload any required documents.\n6. Submit the request and wait for the refund to be processed.\nIf you need further assistance, you can contact our customer service team for more information.""
}","{""intent"":""get_refund"",""category"":""REFUND"",""needs_human"":true,""response"":""I'm sorry to hear that you're seeking a refund for your money. I understand that you may have encountered an issue that prevented you from receiving the satisfaction you expected. To assist you in obtaining a refund, I recommend reaching out to our customer support team. They will be able to guide you through the process and provide you with the necessary information to initiate the refund. Rest assured, we are committed to resolving this matter and ensuring that you receive the compensation you deserve.""}",wrong_intent;invalid_enum;wrong_needs_human,
18289,can you help me notify of a payment issue?,payment_issue,PAYMENT,True,"{
  ""intent"": ""PAYMENT"",
  ""category"": ""PAYMENT"",
  ""needs_human"": false,
  ""response"": ""We'll send you an email notification if we notice any payment issues. In the meantime, please try to resolve the issue yourself. If you need further assistance, feel free to contact our customer support.""
}","{""intent"":""payment_issue"",""category"":""PAYMENT"",""needs_human"":true,""response"":""I'm sorry to hear that you're experiencing a payment issue. I'm here to assist you in notifying us about the problem. To better understand the issue, could you please provide more details about the specific error message or any other relevant information? This will help us investigate the problem and find a solution for you. Thank you for reaching out to us, and we appreciate your patience as we work together to resolve this payment issue.""}",wrong_intent;invalid_enum;wrong_needs_human,
8309,I don't know what to do to speak with customer assistance,contact_customer_service,CONTACT,True,"{
  ""intent"": ""contact"",
  ""category"": ""CONTACT"",
  ""needs_human"": false,
  ""response"": ""You can speak with customer assistance by calling our support hotline at 1-800-123-4567 or by visiting our website's 'Contact Us' page. We're here to help.""
}","{""intent"":""contact_customer_service"",""category"":""CONTACT"",""needs_human"":true,""response"":""I'm sorry to hear that you're unsure about how to reach our customer assistance team. Our dedicated team is here to help you every step of the way. To speak with a representative, you can reach out to our customer support hotline at {{Customer Support Phone Number}} or send an email to {{Customer Support Email}}. Our team is available {{Customer Support Hours}} to assist you. If you have any other questions or concerns, please feel free to let me know. I'm here to help you every step of the way.""}",wrong_intent;invalid_enum;wrong_needs_human,
1274,change purxhase {{Order Number}},change_order,ORDER,False,"{
  ""intent"": ""ORDER"",
  ""category"": ""ORDER"",
  ""needs_human"": false,
  ""response"": ""We've received your request to change the purchase of Order Number [Order Number]. Our team is working on it and will update you as soon as possible. Please note that changes to your order may take some time to process.""
}","{""intent"":""change_order"",""category"":""ORDER"",""needs_human"":false,""response"":""I'm on the same page that you're looking to make changes to your purchase with the order number {{Order Number}}. To assist you with this, could you please provide more details about the specific changes you would like to make? This will help us ensure that we address your concerns effectively and provide you with the best possible experience. Thank you for reaching out to us, and we appreciate your patience as we work together to resolve any issues you may have.""}",wrong_intent;invalid_enum,
1261,change purxhase {{Order Number}},change_order,ORDER,False,"{
  ""intent"": ""ORDER"",
  ""category"": ""ORDER"",
  ""needs_human"": false,
  ""response"": ""We've received your request to change the purchase of Order Number [Order Number]. Our team is working on it and will update you as soon as possible. Please note that changes to your order may take some time to process.""
}","{""intent"":""change_order"",""category"":""ORDER"",""needs_human"":false,""response"":""I'm on the same page that you're looking to make changes to your purchase with the order number {{Order Number}}. To assist you with this, could you please provide more details about the specific changes you would like to make? This will help us ensure that we address your concerns effectively and provide you with the best possible experience. Thank you for reaching out to us, and we appreciate your patience as we work together to resolve any issues you may have.""}",wrong_intent;invalid_enum,
11955,I would like to see what goddamn delivery options I have,delivery_options,DELIVERY,False,"{
  ""intent"": ""delivery_options"",
  ""category"": ""DELIVERY"",
  ""needs_human"": false,
  ""response"": ""We offer various delivery options. Please check our website for more details.""
}","{""intent"":""delivery_options"",""category"":""DELIVERY"",""needs_human"":false,""response"":""I'm on it! I'm here to assist you in exploring our delivery options. To view the available delivery methods, please visit our website and navigate to the \""Delivery\"" section. There, you will find a comprehensive list of our delivery options, including estimated delivery times, delivery areas, and any additional charges. If you have any specific questions or need further assistance, feel free to let me know. I'm here to help you make the most informed decision for your delivery needs.""}",,
12931,how do i check how son can i expect my item,delivery_period,DELIVERY,False,"{
  ""intent"": ""check_invoice"",
  ""category"": ""INVOICE"",
  ""needs_human"": false,
  ""response"": ""You can check your invoice by logging into your account and navigating to the 'My Account' section. From there, select 'View Invoice' to view your order details and expected delivery time.""
}","{""intent"":""delivery_period"",""category"":""DELIVERY"",""needs_human"":false,""response"":""We understand your curiosity about the estimated delivery time for your item. To provide you with the most accurate information, could you please provide us with the {{Tracking Number}} or {{Order Number}}? With this information, we can give you an estimated delivery date. We appreciate your patience and cooperation in this matter.""}",wrong_intent;wrong_category,
13721,"I have to check how soon can I expect my parcel, help me",delivery_period,DELIVERY,False,"{
  ""intent"": ""TRACK"",
  ""category"": ""DELIVERY"",
  ""needs_human"": false,
  ""response"": ""We recommend checking the tracking number on the carrier's website for the expected delivery time. If you need further assistance, feel free to ask.""
}","{""intent"":""delivery_period"",""category"":""DELIVERY"",""needs_human"":false,""response"":""We understand your eagerness to track your parcel and know that you're eager to receive it as soon as possible. To provide you with the most accurate information, could you please provide us with the {{Tracking Number}} or {{Order Number}}? With this information, we'll be able to give you an estimated delivery date and update you on the progress of your parcel. Your patience is greatly appreciated, and we're here to assist you every step of the way.""}",wrong_intent;invalid_enum,
14348,updating data on platinum account,edit_account,ACCOUNT,False,"{
  ""intent"": ""set_up_shipping_address"",
  ""category"": ""DELIVERY"",
  ""needs_human"": false,
  ""response"": ""We'll update your shipping address on your Platinum account. You'll need to provide your new shipping details to proceed.""
}","{""intent"":""edit_account"",""category"":""ACCOUNT"",""needs_human"":false,""response"":""I'm happy to help! I understand that you need to update the data on your {{Account Category}} account. To ensure a smooth process, could you please provide me with the specific details you would like to update? This will allow me to assist you effectively and ensure that your account data is accurate and up-to-date. Thank you for your cooperation, and I look forward to helping you with your account updates.""}",wrong_intent;wrong_category;intent_category_mismatch,
25309,i need help checking the status or purchase {{Order Number}},track_order,ORDER,False,"{
  ""intent"": ""check_order"",
  ""category"": ""ORDER"",
  ""needs_human"": false,
  ""response"": ""To check the status of your order, please visit our website and navigate to the 'My Account' section. From there, select 'View Orders' and enter the Order Number. This will show you the details of your purchase. If you need further assistance, feel free to ask.""
}","{""intent"":""track_order"",""category"":""ORDER"",""needs_human"":false,""response"":""I'm on the same page that you need assistance in checking the status or purchase details for order number {{Order Number}}. To check the status of your order, you can visit the '{{Online Order Interaction}}' section on our website. There, you will find all the information you need, including the current status of your order. If you have any further questions or need further assistance, please feel free to let me know. I'm here to help you every step of the way.""}",wrong_intent;invalid_enum,
12654,"I need to see what damn shipment options I have, help me",delivery_options,DELIVERY,False,"{
  ""intent"": ""check_delivery_options"",
  ""category"": ""DELIVERY"",
  ""needs_human"": false,
  ""response"": ""I can help you check your shipment options. Please provide your tracking number so I can assist you further.""
}","{""intent"":""delivery_options"",""category"":""DELIVERY"",""needs_human"":false,""response"":""I'm on it! I'm here to assist you in exploring the shipment options available to you. To view the available shipping methods, please follow these steps: 1. Log in to your account on our website. 2. Navigate to the \""Shipping\"" or \""Delivery\"" section. 3. You should see a list of shipping options. 4. Click on the \""View All\"" or \""See All\"" button to expand the list. 5. You will be able to see all the available shipping methods, including ground shipping, express shipping, and international shipping. If you have any further questions or need additional assistance, feel free to let me know. I'm here to help you every step of the way!""}",wrong_intent;invalid_enum,
25304,check the current status of purchase {{Order Number}},track_order,ORDER,False,"{
  ""intent"": ""ORDER"",
  ""category"": ""DELIVERY"",
  ""needs_human"": false,
  ""response"": ""To check the current status of your purchase, please visit our website and navigate to the 'My Account' section. From there, select 'View Order History' and enter the Order Number '{{Order Number}}'. This will provide you with the details of your purchase, including the status of your order.""
}","{""intent"":""track_order"",""category"":""ORDER"",""needs_human"":false,""response"":""I'm on the same page that you are, and I understand that you would like to check the current status of your purchase with the purchase number {{Order Number}}. To provide you with the most accurate information, could you please provide me with the {{Order Number}}? With that information, I will be able to assist you further and give you an update on the status of your purchase.""}",wrong_intent;wrong_category;invalid_enum,
17102,wanna know about canceling the newsletter subscription,newsletter_subscription,SUBSCRIPTION,False,"{
  ""intent"": ""complaint"",
  ""category"": ""CONTACT"",
  ""needs_human"": false,
  ""response"": ""To cancel your newsletter subscription, please visit our website and navigate to the 'My Account' section. From there, select 'Manage Subscriptions' and choose to unsubscribe. If you have any issues or need further assistance, feel free to contact our support team.""
}","{""intent"":""newsletter_subscription"",""category"":""SUBSCRIPTION"",""needs_human"":false,""response"":""I'm happy to help! I understand that you would like to know more about canceling your newsletter subscription. To do so, you can log in to your account and navigate to the \""Newsletter\"" section. From there, you should be able to find the option to unsubscribe or cancel your subscription. If you have any further questions or need assistance with the process, please feel free to let me know. I'm here to help you every step of the way!""}",wrong_intent;wrong_category;intent_category_mismatch,
19902,where can i find information about the pin code recovery,recover_password,ACCOUNT,False,"{
  ""intent"": ""contact"",
  ""category"": ""CONTACT"",
  ""needs_human"": false,
  ""response"": ""You can find information about pin code recovery by visiting the official website of the Indian government or by contacting the local government office. For more detailed assistance, you can also visit the official website of the Indian government.""
}","{""intent"":""recover_password"",""category"":""ACCOUNT"",""needs_human"":false,""response"":""I'm on it! I'm here to guide you on how to find information about pin code recovery. To recover your pin code, you can follow these steps: 1. Log in to your account on our website or app. 2. Navigate to the \""Account Settings\"" or \""Security\"" section. 3. Look for the \""Pin Code\"" or \""PIN\"" option. 4. Click on it to access the pin code recovery process. 5. Follow the on-screen instructions to reset your pin code. If you encounter any difficulties or have further questions, please don't hesitate to reach out to our customer support team. They are available {{Customer Support Hours}} at {{Customer Support Phone Number}} or through the Live Chat on our website at {{Website URL}}. We're here to assist you every step of the way.""}",wrong_intent;wrong_category;invalid_enum,
