source_index,stable_id,instruction,ground_truth_intent,ground_truth_category,ground_truth_needs_human,base_output,lora_output,base_error_tags,lora_error_tags,base_risk_flags,lora_risk_flags
22918,06b2d45a3aa33b78f49ea6edfb3da34650060479557fd533a8c8b885dc2c42bb,I have to submit my shipping address,set_up_shipping_address,SHIPPING,False,"{
  ""intent"": ""set_up_shipping_address"",
  ""category"": ""SHIPPING"",
  ""needs_human"": false,
  ""response"": ""Please provide your new shipping address details.""
}","{""intent"":""change_shipping_address"",""category"":""SHIPPING"",""needs_human"":false,""response"":""We understand that you need to submit your shipping address. We are here to assist you with this process. To update your shipping address, please follow these steps: 1. Log in to your account on our website. 2. Navigate to the \""My Account\"" or \""Profile\"" section. 3. Look for the \""Shipping Addresses\"" or \""Address Book\"" option. 4. Click on it to view or edit your current shipping addresses. 5. Locate the address you want to update and click on the \""Edit\"" or \""Change\"" button. 6. Fill in the required fields with the correct information. 7. Double-check the accuracy of the updated address. 8. Save the changes by clicking on the \""Save\"" or \""Update\"" button. If you encounter any difficulties or have further questions, please don't hesitate to reach out to our customer support team. We are here to provide you with the necessary assistance and ensure a smooth shipping address update process.""}",,wrong_intent,,unnecessary_escalation
10415,e770b6a2af8ca5438b5da85fa903f2e5a1974fbe76f05efefdd788d054fa6dbd,opdn {{Account Category}} account,create_account,ACCOUNT,False,"{
  ""intent"": ""registration_problems"",
  ""category"": ""ACCOUNT"",
  ""needs_human"": false,
  ""response"": ""We're here to help. If you have any registration issues, please feel free to contact our support team.""
}","{""intent"":""edit_account"",""category"":""ACCOUNT"",""needs_human"":false,""response"":""I'm happy to help! I'm here to guide you through the process of editing your {{Account Category}} account. To get started, could you please provide me with the specific details you would like to modify? This will allow me to assist you effectively and ensure that your account meets your needs.""}",wrong_intent,wrong_intent,unnecessary_escalation,
12708,943a94943416358fe058a33d781c6c28a4220b362c0cc53c33bb7697c30fcd20,do ya deoiver to {{Delivery City}},delivery_options,DELIVERY,False,"{
  ""intent"": ""shipping_address"",
  ""category"": ""DELIVERY"",
  ""needs_human"": false,
  ""response"": ""We're currently working on providing delivery to {{Delivery City}}. We'll update you as soon as we have more information. In the meantime, you can check our website for alternative delivery options or contact our customer service for further assistance.""
}","{""intent"":""delivery_options"",""category"":""DELIVERY"",""needs_human"":false,""response"":""We're thrilled to hear from you! I'm here to assist you in finding the most suitable delivery options for your package to {{Delivery City}}. To better assist you, could you please provide me with the {{Delivery City}} address? With this information, I'll be able to offer you the most accurate and efficient delivery options. Your satisfaction is our top priority, and we're committed to ensuring that your package reaches {{Delivery City}} safely and on time.""}",wrong_intent;invalid_enum,,unnecessary_escalation,
10356,e770b6a2af8ca5438b5da85fa903f2e5a1974fbe76f05efefdd788d054fa6dbd,opdn {{Account Type}} account,create_account,ACCOUNT,False,"{
  ""intent"": ""registration_problems"",
  ""category"": ""REGISTRATION"",
  ""needs_human"": false,
  ""response"": ""We're sorry to hear that you're experiencing issues with your account. To help resolve the problem, please provide more details about the issue. This information will be used to assist in troubleshooting. Thank you for your patience and understanding.""
}","{""intent"":""create_account"",""category"":""ACCOUNT"",""needs_human"":false,""response"":""I'm thrilled to assist you in creating your {{Account Type}} account! Your decision to join our community is truly inspiring, and I'm here to guide you every step of the way. To get started, could you please provide me with your full name, email address, and a preferred username? Once I have these details, I'll be able to create your {{Account Type}} account for you. Rest assured, your security and privacy are of utmost importance to us, and we'll ensure that your information is handled with the utmost care. If you have any questions or need further assistance, please feel free to let me know. I'm here to make your {{Account Type}} account experience seamless and enjoyable!""}",wrong_intent;wrong_category;invalid_enum,,,
10023,109ee84cc2c92b4b4fabbed7a39fbb208641fa5039322b543d3a0808400496b8,i need assistance to open a {{Account Category}} account for my dad,create_account,ACCOUNT,False,"{
  ""intent"": ""registration_problems"",
  ""category"": ""REGISTRATION"",
  ""needs_human"": false,
  ""response"": ""We're here to help! To open an account for your dad, please provide his personal information. This includes his full name, address, phone number, and email. Once we have this information, we'll create an account for him. If you need any further assistance, feel free to ask.""
}","{""intent"":""create_account"",""category"":""ACCOUNT"",""needs_human"":false,""response"":""I'm happy to help! I'm here to assist you in opening a {{Account Category}} account for your dad. To get started, could you please provide me with his full name, email address, and a preferred username? Once I have this information, I'll guide you through the process step by step. Rest assured, we prioritize the security and privacy of your dad's information, and we'll ensure that his account is opened smoothly.""}",wrong_intent;wrong_category;invalid_enum,,,
18037,ffe23f6122db674accbe887b07969886250e6919345d8803365d1f51290e609d,help regarding payment,payment_issue,PAYMENT,True,"{
  ""intent"": ""PAYMENT"",
  ""category"": ""PAYMENT"",
  ""needs_human"": false,
  ""response"": ""I'm here to help. If you need assistance with your payment, please provide more details so I can assist you effectively. What specifically do you need help with?""
}","{""intent"":""payment_issue"",""category"":""PAYMENT"",""needs_human"":true,""response"":""I'm sorry to hear that you're experiencing difficulties with your payment. I understand how frustrating it can be when payment issues arise. To better assist you, could you please provide more details about the specific problem you're facing? This will help me identify the best course of action and provide you with the most appropriate guidance. Your feedback is valuable to us, and we're here to support you every step of the way.""}",wrong_intent;invalid_enum;wrong_needs_human,,,
17950,c0c0bfe85d79db9817a261c7cebda9450e4a32e8de32baeb4a7e339922a2989f,i  need assistance reporting troubles with online payments,payment_issue,PAYMENT,True,"{
  ""intent"": ""PAYMENT_ISSUE"",
  ""category"": ""PAYMENT"",
  ""needs_human"": false,
  ""response"": ""We're here to help. Please provide more details about the issue so we can assist you better.""
}","{""intent"":""payment_issue"",""category"":""PAYMENT"",""needs_human"":true,""response"":""I'm sorry to hear that you're experiencing troubles with online payments. I'm here to assist you in reporting these issues and finding a solution. To better understand the specific troubles you're facing, could you please provide more details about the problem? This will help me provide you with the most appropriate guidance and support. Thank you for reaching out to us, and I'm committed to resolving this for you.""}",wrong_intent;invalid_enum;wrong_needs_human,,,
9824,a83f4e3219bff8f76a1f4e396475d765886a48d5d3fef41ef5ab003cd8f89634,"I can't understand you, can I chat with a human agent?",contact_human_agent,CONTACT,True,"{""intent"":""contact"",""category"":""CONTACT"",""needs_human"":true,""response"":""You can contact a human agent for assistance.""}","{""intent"":""contact_human_agent"",""category"":""CONTACT"",""needs_human"":true,""response"":""I'm sorry to hear that you're having trouble understanding me. I completely understand your frustration and the need to connect with a human agent for assistance. Our dedicated team of customer representatives is here to help you. Please allow me a moment to connect you with a human representative who can provide you with the personalized support you need. Thank you for your patience and understanding.""}",wrong_intent;invalid_enum,,,
18497,19e31f6f079f9d5b80f9a360631a2e75be05fbb1dceac0d1645c6bb07126a056,"I can't make payments, assistance informing of problems",payment_issue,PAYMENT,True,"{
  ""intent"": ""payment_issue"",
  ""category"": ""PAYMENT"",
  ""needs_human"": false,
  ""response"": ""We're sorry to hear that you're having trouble making payments. If you need help resolving this issue, please contact our customer service team for assistance. We're here to help.""
}","{""intent"":""payment_issue"",""category"":""PAYMENT"",""needs_human"":true,""response"":""I'm sorry to hear that you're experiencing difficulties with making payments. I understand how frustrating it can be when you encounter problems. To better assist you, could you please provide more details about the specific issues you're facing? This will help me identify the root cause and provide you with the most appropriate solution. Your feedback is valuable to us, and we're here to support you every step of the way.""}",wrong_needs_human,,,
7212,6d0cca4d4fe61267160a110f2a5fe93de7cffbaac7550bc6d7e90ffbf7b3b220,I'm not happy with ur work how do i make a claim,complaint,FEEDBACK,True,"{
  ""intent"": ""complaint"",
  ""category"": ""CONTACT"",
  ""needs_human"": false,
  ""response"": ""We're sorry to hear that you're not happy with our work. To make a claim, please contact our customer service team. You can do this by calling us, sending an email, or using our online chat. We'll help you through the process and ensure your complaint is handled appropriately. Thank you for your feedback.""
}","{""intent"":""complaint"",""category"":""FEEDBACK"",""needs_human"":true,""response"":""I'm sorry to hear that you're not happy with our work. I understand that you would like to make a claim. To make a claim, you can reach out to our customer support team either through our website or by calling our helpline. They will guide you through the process and ensure that your claim is properly documented and addressed. We value your feedback and are committed to resolving any issues you may have.""}",wrong_category;intent_category_mismatch;wrong_needs_human,,,
26055,dfda1e5893a95cae262f4838db7be8e8ee00d0f72c858c345146ed76f87fe7e9,where to know if there is anything new on the rebate,track_refund,REFUND,False,"{
  ""intent"": ""check_refund_policy"",
  ""category"": ""REFUND"",
  ""needs_human"": false,
  ""response"": ""You can check for new rebates on our website by visiting the 'Rewards and Incentives' section. This will provide you with the latest information on available rebates and promotions. If you need further assistance, feel free to ask.""
}","{""intent"":""track_refund"",""category"":""REFUND"",""needs_human"":false,""response"":""I'm on it! I'm here to provide you with the information you need to stay updated on any new developments regarding your rebate. To check for any updates, you can visit our website and navigate to the \""Rebates\"" section. There, you will find a dedicated page where you can track the status of your rebate and receive notifications about any new information or updates. If you have any specific questions or need further assistance, please feel free to let me know. I'm here to help you every step of the way!""}",wrong_intent,,,
16930,fd17b708af52dc7ad8b3480aedc001b6eb4bbad42488c486731793c82fc93b38,I would like to cancel the subscription to the newsletter,newsletter_subscription,SUBSCRIPTION,False,"{
  ""intent"": ""registration_problems"",
  ""category"": ""SUBSCRIPTION"",
  ""needs_human"": false,
  ""response"": ""We're sorry to hear that you'd like to cancel your subscription to the newsletter. To proceed, please provide your email address so we can confirm your subscription and remove you from the list.""
}","{""intent"":""newsletter_subscription"",""category"":""SUBSCRIPTION"",""needs_human"":false,""response"":""I'm sorry to hear that you would like to cancel your subscription to our newsletter. I understand how important it is for you to stay informed and engaged with our content. To assist you with this request, could you please provide me with the email address you used to subscribe? Once I have that information, I will be able to cancel your subscription and ensure that you no longer receive any further newsletters. Thank you for your cooperation and understanding.""}",wrong_intent;intent_category_mismatch,,,
24440,1a02380a49d71e19330b72555e22f6ec85a37bf1d6ae15819f1825791ebcf5e6,using another user,switch_account,ACCOUNT,False,"{
  ""intent"": ""contact_customer_service"",
  ""category"": ""CONTACT"",
  ""needs_human"": false,
  ""response"": ""Hello! If you need to contact us, please provide your contact information or a brief message. We'll be happy to assist you.""
}","{""intent"":""switch_account"",""category"":""ACCOUNT"",""needs_human"":false,""response"":""I'm happy to help! I'm here to assist you in using another user account. To switch to another user, please follow these steps: 1. Log in to your account. 2. Navigate to the \""Account Settings\"" or \""Profile\"" section. 3. Look for an option labeled \""Switch to Another User\"" or \""Change User.\"" 4. Select the user account you would like to switch to. 5. Confirm the switch by following any additional prompts or instructions. If you encounter any difficulties or have further questions, please don't hesitate to let me know. I'm here to ensure a smooth transition and provide any necessary guidance.""}",wrong_intent;wrong_category,,,
4662,2a8a396ae695579a576308a830d017be9f2ab3382c9b1288958c65eca9a1aecf,how can i take a quick look at invoice #85632,check_invoice,INVOICE,False,"{
  ""intent"": ""check_invoice"",
  ""category"": ""INVOICE"",
  ""needs_human"": false,
  ""response"": ""You can quickly view your invoice #85632 by logging into your account and navigating to the 'My Account' section. From there, select 'View Invoices' and choose the invoice you're interested in. This will provide a detailed view of your order.""
}","{""intent"":""check_invoice"",""category"":""INVOICE"",""needs_human"":false,""response"":""I'm on it! I'm here to assist you in quickly accessing the quick look at your invoice with the number {{Invoice Number}}. To view the quick look, please follow these steps: 1. Log in to your account on our website. 2. Navigate to the \""Billing\"" or \""Invoices\"" section. 3. Look for the \""Invoices\"" or \""Billing\"" tab. 4. Click on the \""View Invoices\"" or \""Download Invoices\"" option. 5. Select the specific invoice you want to view. 6. Click on the \""Quick Look\"" or \""Preview\"" button. This will display a quick overview of the invoice, including the invoice number, date, and a summary of the items and amounts. If you encounter any difficulties or have further questions, please don't hesitate to let me know. I'm here to help you every step of the way!""}",,,,
17295,1e6c03585459314e41fb4acd6139960b23953641c8102feba037a49b17726516,i dont know what i need to do to subscribe to the newsletter,newsletter_subscription,SUBSCRIPTION,False,"{
  ""intent"": ""registration_problems"",
  ""category"": ""SUBSCRIPTION"",
  ""needs_human"": false,
  ""response"": ""To subscribe to our newsletter, please visit our website and enter your email address in the designated field. After submitting, you will receive an email confirmation with instructions on how to access the newsletter.""
}","{""intent"":""newsletter_subscription"",""category"":""SUBSCRIPTION"",""needs_human"":false,""response"":""I'm happy to help! I'm here to guide you through the process of subscribing to our newsletter. To subscribe, you can visit our website and navigate to the \""Newsletter\"" section. From there, you'll find a form where you can enter your email address and subscribe to our newsletter. If you have any trouble or need further assistance, please don't hesitate to let me know. I'm here to ensure you have a seamless experience and stay informed about our latest updates and promotions.""}",wrong_intent;intent_category_mismatch,,,
11074,d99e9b90929ece49db38c34b96dc32920c29d3106f32374b388666b86dbec735,I try to delete the {{Account Type}} account,delete_account,ACCOUNT,True,"{
  ""intent"": ""registration_problems"",
  ""category"": ""ACCOUNT"",
  ""needs_human"": false,
  ""response"": ""We're sorry to hear that you're experiencing issues with your account. To help resolve this, we recommend checking your account settings and verifying your account information. If you're still having trouble, please contact our support team for further assistance.""
}","{""intent"":""delete_account"",""category"":""ACCOUNT"",""needs_human"":true,""response"":""I'm sorry to hear that you're trying to delete your {{Account Type}} account. I understand how frustrating it can be to lose access to your account. To assist you with this process, could you please provide me with the specific details of your account? This will help me guide you through the necessary steps to delete your {{Account Type}} account. Rest assured, I'm here to support you every step of the way.""}",wrong_intent;wrong_needs_human,,,
26025,96232e0762768e97d5eada35075025630fe12413bdf3234e25e54e6c75b48ac0,can uhelp me check the compensation current status,track_refund,REFUND,False,"{
  ""intent"": ""check_cancellation_fee"",
  ""category"": ""ORDER"",
  ""needs_human"": false,
  ""response"": ""I'm sorry, but I don't have the ability to check cancellation fees. You can usually find this information on your account dashboard. If you need help with something else, feel free to ask.""
}","{""intent"":""track_refund"",""category"":""REFUND"",""needs_human"":false,""response"":""I'm on it! I'm here to assist you in checking the current status of your compensation. To provide you with the most accurate information, could you please provide me with the {{Refund Number}} or {{Order Number}}? With this information, I'll be able to track the progress of your compensation and give you an update on its current status. Thank you for your cooperation, and I appreciate your patience while I gather the necessary details.""}",wrong_intent;wrong_category;intent_category_mismatch,,,
19948,74cef85027509e155deda754a7a1775b65eff810b5cb579c64c3386a1cbab59b,"I can't remember the PIN of my user, help restoring it",recover_password,ACCOUNT,False,"{""intent"":""payment_issue"",""category"":""PAYMENT"",""needs_human"":false,""response"":""I'm sorry to hear that you're having trouble remembering your PIN. If you've forgotten it, you can usually reset it by calling our customer service number. Please provide your account details so we can assist you further.""}","{""intent"":""recover_password"",""category"":""ACCOUNT"",""needs_human"":false,""response"":""I'm sorry to hear that you're having trouble remembering the PIN for your user account. Don't worry, I'm here to assist you in restoring it. To regain access to your account, please follow these steps: 1. Visit our website and navigate to the \""{{Login Page URL}}\"". 2. Look for the \""{{Forgot PIN}}\"" option and click on it. 3. You will be prompted to enter the email address associated with your user account. Please provide the correct email address. 4. Once you've entered the email address, click on the \""{{Submit}}\"" button. 5. You will receive an email with instructions on how to reset your PIN. Follow the instructions in the email to restore your PIN. If you encounter any difficulties or have further questions, please don't hesitate to reach out to our dedicated support team. We're here to help you every step of the way.""}",wrong_intent;wrong_category,,unnecessary_escalation,unnecessary_escalation
21767,d860d066d927409fe71e9bf660f2921ac41d480ab4e0414b2be110e6a975b7df,how can I inform of a problem with a sign-up?,registration_problems,ACCOUNT,False,"{
  ""intent"": ""registration_problems"",
  ""category"": ""REGISTRATION"",
  ""needs_human"": false,
  ""response"": ""We're sorry to hear that you're experiencing issues with your sign-up. To help resolve the problem, please provide the following information: your email address, the date of your sign-up, and a brief description of the problem. We'll review your account and take the necessary steps to address the issue. Thank you for your patience and understanding.""
}","{""intent"":""registration_problems"",""category"":""ACCOUNT"",""needs_human"":false,""response"":""We appreciate your proactive approach in informing us about the problem you encountered during the sign-up process. Your feedback is crucial in helping us identify and address any issues promptly. To inform us about the problem, you can reach out to our customer support team either through our website's live chat feature or by calling our dedicated helpline. Our team will be more than happy to assist you further and work towards resolving the issue. Your cooperation is greatly appreciated.""}",wrong_category;invalid_enum,,,unnecessary_escalation
4432,c579bbc14bd80368dbcb51436c7ef9c1b1c8bcaf45ed163dbc08aa6482f244c9,help to check my invoice #12588,check_invoice,INVOICE,False,"{
  ""intent"": ""check_invoice"",
  ""category"": ""INVOICE"",
  ""needs_human"": false,
  ""response"": ""To check your invoice #12588, please log in to your account and navigate to the 'My Account' section. From there, select 'View Invoices' or 'View My Invoices' to view the details. If you encounter any issues, feel free to contact our customer service for assistance.""
}","{""intent"":""check_invoice"",""category"":""INVOICE"",""needs_human"":false,""response"":""I'm on it! I'm here to assist you in checking your invoice with the number #{{Invoice Number}}. To access your invoice, please log in to your account on our website and navigate to the \""Billing\"" or \""Invoices\"" section. From there, you should be able to find your invoice with the number #{{Invoice Number}}. If you encounter any difficulties or have further questions, please don't hesitate to let me know. I'm here to help you every step of the way!""}",,,unnecessary_escalation,
