source_index,instruction,ground_truth_intent,predicted_intent,ground_truth_category,predicted_category,ground_truth_needs_human,predicted_needs_human,json_valid,schema_compliant,generation_truncated,error_tags,raw_model_output
14927,where can i get the invoice #12588,get_invoice,check_invoice,INVOICE,INVOICE,False,False,True,True,False,wrong_intent,"{""intent"":""check_invoice"",""category"":""INVOICE"",""needs_human"":false,""response"":""I'm on it! I'm here to assist you in locating the invoice with the number #{{Invoice Number}}. To provide you with the most accurate information, could you please provide me with the date range or any other relevant details? This will help me narrow down the search and locate the invoice you're looking for. Thank you for your cooperation, and I appreciate your patience while I gather the necessary information.""}"
10408,opdn {{Account Category}} account,create_account,edit_account,ACCOUNT,ACCOUNT,False,False,True,True,False,wrong_intent,"{""intent"":""edit_account"",""category"":""ACCOUNT"",""needs_human"":false,""response"":""I'm happy to help! I'm here to guide you through the process of editing your {{Account Category}} account. To get started, could you please provide me with the specific details you would like to modify? This will allow me to assist you effectively and ensure that your account meets your needs.""}"
22918,I have to submit my shipping address,set_up_shipping_address,change_shipping_address,SHIPPING,SHIPPING,False,False,True,True,False,wrong_intent,"{""intent"":""change_shipping_address"",""category"":""SHIPPING"",""needs_human"":false,""response"":""We understand that you need to submit your shipping address. We are here to assist you with this process. To update your shipping address, please follow these steps: 1. Log in to your account on our website. 2. Navigate to the \""My Account\"" or \""Profile\"" section. 3. Look for the \""Shipping Addresses\"" or \""Address Book\"" option. 4. Click on it to view or edit your current shipping addresses. 5. Locate the address you want to update and click on the \""Edit\"" or \""Change\"" button. 6. Fill in the required fields with the correct information. 7. Double-check the accuracy of the updated address. 8. Save the changes by clicking on the \""Save\"" or \""Update\"" button. If you encounter any difficulties or have further questions, please don't hesitate to reach out to our customer support team. We are here to provide you with the necessary assistance and ensure a smooth shipping address update process.""}"
23604,I am trying to submit my secondary delivery addrerss,set_up_shipping_address,change_shipping_address,SHIPPING,SHIPPING,False,False,True,True,False,wrong_intent,"{""intent"":""change_shipping_address"",""category"":""SHIPPING"",""needs_human"":false,""response"":""We appreciate your effort in submitting your secondary delivery address. We understand that it may take some time for us to process the request. To ensure that your secondary address is accurately recorded, please provide us with the necessary details such as the street name, house number, and any other relevant information. Once we have received the updated address, we will update it in our system promptly. If you have any further questions or concerns, please don't hesitate to let us know. We are here to assist you every step of the way.""}"
14743,"I have got to edit my user, how could I do it?",edit_account,,ACCOUNT,,False,,False,False,True,wrong_intent;wrong_category;invalid_json;wrong_needs_human;generation_truncated,"{""intent"":""edit_account"",""category"":""ACCOUNT"",""needs_human"":false,""response"":""I'm glad you contacted us to us to us to us to us to us to us to us to us to us to us to us to us to us to us to us to us to us to us to us to us to us to us to us to us to us to us to us to us to us to us to us to us to us to us to us to us to us to us to us to us to us to us to us to us to us to us to us to us to us to us to us to us to us to us to us to us to us to us to us to us to us to us to us to us to us to us to us to us to us to us to us to us to us to us to us to us to us to us to us to us to us to us to us to us to us to us to us to us to us to us to us to us to us to us to us to us to us to us to us to us to us to us to us to us to us to us to us to us to us to us to us to us to us to us to us to us to us to us to us to us to us to us to us to us to us to us to us to us to us to us to us to us to us to us to us to us to us to us to us to us to us to us to us to us to us to us to us to us to us to us to us to us to us to us to us to us to us to us to us to us to us to us to us to us to us to us to us to us to us to us to us to us to us to us to us to us to us to us to us to us to us to us to us to us to us to us to us to us to us to us to us to us to us to us to us to us to us to us to us to us to us to us to us to us to us to us to us to us to us to us to us to us to us to us to us to us to us to us to us to us to us to us to us to us to us to us to us to us to us to us to us to us to us to us to us to us to us to us to us to us to us to us to us to us to"
15498,I want assistance getting bill #12588,get_invoice,check_invoice,INVOICE,INVOICE,False,False,True,True,False,wrong_intent,"{""intent"":""check_invoice"",""category"":""INVOICE"",""needs_human"":false,""response"":""I'm on it! I'm here to assist you in obtaining the bill with the number {{Invoice Number}}. To access the bill, please follow these steps: 1. Log in to your account on our website. 2. Navigate to the \""Billing\"" or \""Invoices\"" section. 3. Look for the bill with the number {{Invoice Number}}. 4. Click on the bill to view the details. If you encounter any difficulties or have further questions, please don't hesitate to let me know. I'm here to ensure a smooth experience for you.""}"
647,I can't pay  for order {{Order Number}},cancel_order,place_order,ORDER,ORDER,False,False,True,True,False,wrong_intent,"{""intent"":""place_order"",""category"":""ORDER"",""needs_human"":false,""response"":""I'm sorry to hear that you're having trouble paying for order {{Order Number}}. I understand how frustrating it can be when you encounter payment issues. To assist you further, could you please provide more details about the error message or any specific error codes you received? This will help me better understand the problem and provide you with the most appropriate solution. Thank you for reaching out to us, and I appreciate your patience as we work together to resolve this matter.""}"
562,need help cancelling purchase {{Order Number}},cancel_order,cancel_order,ORDER,ORDER,False,True,True,True,False,wrong_needs_human,"{""intent"":""cancel_order"",""category"":""ORDER"",""needs_human"":true,""response"":""I'm sorry to hear that you need assistance with canceling your purchase with the purchase number {{Order Number}}. I understand how frustrating it can be when you encounter difficulties during the cancellation process. To better assist you, could you please provide more details about the specific issues you're facing? This will help me identify the best course of action and ensure that your purchase is cancelled as smoothly as possible. Thank you for your cooperation, and I appreciate your patience as we work together to resolve this matter.""}"
24235,I want assistance using the {{Account Category}} account,switch_account,edit_account,ACCOUNT,ACCOUNT,False,False,True,True,False,wrong_intent,"{""intent"":""edit_account"",""category"":""ACCOUNT"",""needs_human"":false,""response"":""I'm happy to help! I'm here to assist you in using the {{Account Category}} account. To get started, could you please provide me with the specific features or settings you would like to access? This will help me guide you through the process and ensure you have a seamless experience. Your satisfaction is our top priority, and I'm committed to making your account experience as smooth as possible.""}"
15607,I don't know what I have to do to download bill #85632,get_invoice,check_invoice,INVOICE,INVOICE,False,False,True,True,False,wrong_intent,"{""intent"":""check_invoice"",""category"":""INVOICE"",""needs_human"":false,""response"":""I'm on the same page that you are, feeling puzzled and unsure about the steps to download your bill with the number #{{Invoice Number}}. Don't worry, I'm here to guide you through the process. To download your bill, you can follow these simple steps: 1. Log in to your account on our website. 2. Navigate to the billing section or invoice tab. 3. Look for the specific bill with the number #{{Invoice Number}}. 4. Click on the download button or link associated with that bill. 5. Save the downloaded file to your device. If you encounter any difficulties or have further questions, please don't hesitate to let me know. I'm here to assist you every step of the way.""}"
