split,instruction,intent,category,needs_human,response
dev,assistance checking the accepted payment options,check_payment_methods,PAYMENT,False,"Glad you contacted and seeking assistance in checking our accepted payment options. I'm here to help! To ensure a seamless and convenient shopping experience, we offer a variety of payment methods. Here's a comprehensive list of our accepted payment options: 1. Credit/Debit Card: We accept major credit and debit cards like Visa, Mastercard, and American Express. You can securely make payments with your card details. 2. PayPal: As a globally recognized online payment platform, PayPal offers a secure and convenient way to pay for your purchases. You can link your bank account or credit card to your PayPal account for hassle-free transactions. 3. Bank Transfer: If you prefer to make a direct transfer from your bank account, you can choose this payment option. Simply initiate the transfer from your bank's online banking platform. 4. Apple Pay: For Apple users, we support Apple Pay, which provides a quick and secure way to make purchases using your iPhone, iPad, or Apple Watch. Simply authenticate the payment with your device's biometric or passcode verification. 5. Google Pay: If you use an Android device, Google Pay offers a convenient way to make payments. Add your payment cards to the Google Pay app and seamlessly complete transactions with just a few taps. These options cover a wide range of preferences to ensure that you find a convenient and secure way to complete your purchase. If you have any further questions or if there's anything else I can assist you with, please feel free to let me know."
dev,could you tell me more about changing my delivery address?,change_shipping_address,SHIPPING,False,"I'm happy to help! If you need to change your delivery address, you can do so by contacting our customer service team. They will assist you in updating the address to ensure your package reaches the correct destination. It's important to provide them with accurate and complete information to avoid any delays or misdeliveries. Whether you're moving to a new house or simply want to update your address, our team will guide you through the process and make sure your package gets to the right place. Don't hesitate to reach out to us for any further assistance with changing your delivery address."
dev,"I have to check how soon can I expect my parcel, help me",delivery_period,DELIVERY,False,"We understand your eagerness to receive your parcel and would be more than happy to assist you in checking the estimated delivery time. To provide you with accurate information, could you please provide us with the {{Order Number}} or {{Tracking Number}}? With this information, we can provide you with an update on the expected arrival of your parcel. Your patience is greatly appreciated, and we look forward to helping you track your package."
dev,I have a problem with the deletion of a {{Account Type}} account,delete_account,ACCOUNT,True,"Glad you contacted about the deletion of your {{Account Type}} account. I understand that you're facing an issue, and I'm here to assist you. To provide you with suitable support, could you please provide more details about the problem you're encountering? It's essential for us to understand the specific issue so that we can work together towards finding a resolution. Rest assured, we will do our utmost to address your concerns and ensure a smooth account deletion process for you."
dev,wannaclose a pro account,delete_account,ACCOUNT,True,"We're here for you to us and expressing your interest in closing your {{Account Type}} account. We appreciate your decision-making process and understand the importance of finding the right solution for your needs. To assist you with the account closure, please provide us with the specific details of your {{Account Type}} account. This will enable us to guide you through the process effectively and ensure a seamless experience. Remember, we're here to support you every step of the way and address any concerns you may have."
locked_test,i have to list the accepted payment methods,check_payment_methods,PAYMENT,False,"Indeed! I'm here to assist you in listing our accepted payment methods. We offer a variety of convenient options for our valued customers. Here are the accepted payment methods: - **Credit/Debit Card:** We accept major cards like Visa, Mastercard, and American Express. - **PayPal:** A popular online payment method that provides security and is widely used. - **Bank Transfer:** This allows you to make direct payments from your bank account. - **Digital Wallets:** We also accept digital wallets such as Apple Pay, Google Pay, and Samsung Pay. - **Cryptocurrencies:** For those interested in using digital currencies, we also accept Bitcoin, Ethereum, and other cryptocurrencies. These options provide flexibility and convenience for a seamless checkout process. If you have any questions or need further assistance, please feel free to let me know. Your satisfaction is our top priority, and we're here to support you every step of the way!"
locked_test,how to download the bill from {{Person Name}}?,get_invoice,INVOICE,False,"I see your confusion about how to download the bill from {{Salutation}} {{Client Last Name}}. Let me guide you through the process. To download the bill, you can log in to your account and navigate to the ""Billing"" or ""Invoices"" section. From there, you should be able to locate the specific bill associated with {{Person Name}} and find a download option. If you encounter any difficulties or have further questions, please feel free to let me know. I'm here to assist you every step of the way."
locked_test,i do not know what i need to do to delete a {{Account Category}} acclunt,delete_account,ACCOUNT,True,"Happy to get your message to us regarding the deletion of your {{Account Category}} account. I understand that you are unsure about the steps involved, and I'm here to assist you. To delete your {{Account Category}} account, please follow these instructions: 1. Log in to your account on our website using your credentials. 2. Navigate to the account settings or profile section. 3. Look for the option to manage or delete your account. 4. Follow the on-screen prompts or instructions to initiate the account deletion process. 5. You may be asked to provide a reason for deleting your account. Please provide the requested information if necessary. 6. Confirm the deletion of your account by following the final steps or instructions. Please note that deleting your {{Account Category}} account will result in the loss of all associated data and benefits. If you have any important information or files stored in your account, make sure to download or back them up before proceeding with the deletion process. If you encounter any issues or have further questions during the account deletion process, please do not hesitate to reach out to our customer support team. We are available to assist you every step of the way."
locked_test,I need help to check the early exit penalty,check_cancellation_fee,CANCEL,False,"Sure! To check the early exit penalty, please log in to your account and navigate to the ""Termination Charges"" section. You will find all the information regarding the early termination fees and how they are calculated. If you have any further questions or need assistance, feel free to reach out to our customer support team."
locked_test,i do not know what i have to do to get my money back,get_refund,REFUND,True,"I'm attuned to the idea that you're unsure about the steps you need to take to get your money back. It can be frustrating not knowing the exact process, but rest assured, I'm here to guide you through it. To initiate the refund process, the first thing you should do is contact our customer support team."
