normalized_instruction,instruction,category,intent,duplicate_group_size,duplicate_group_rank
is it possible to order from <entity>?,is it possible to order from {{Delivery City}} ?,DELIVERY,delivery_options,22,2
is it possible to order from <entity>?,is it possible to order from {{Delivery City}}?,DELIVERY,delivery_options,22,2
is it possible to order from <entity>?,is it possible to order from {{Delivery City}}?,DELIVERY,delivery_options,22,2
is it possible to order from <entity>?,is it possible to order from {{Delivery City}}?,DELIVERY,delivery_options,22,2
is it possible to order from <entity>?,is it possible to order from {{Delivery City}}?,DELIVERY,delivery_options,22,2
is it possible to order from <entity>?,is it possible to order from {{Delivery City}}?,DELIVERY,delivery_options,22,2
is it possible to order from <entity>?,is it possible to order from {{Delivery City}}?,DELIVERY,delivery_options,22,2
is it possible to order from <entity>?,is it possible to order from {{Delivery City}}?,DELIVERY,delivery_options,22,2
is it possible to order from <entity>?,is it possible to order from {{Delivery City}}?,DELIVERY,delivery_options,22,2
is it possible to order from <entity>?,is it possible to order from {{Delivery Country}}?,DELIVERY,delivery_options,22,2
is it possible to order from <entity>?,is it possible to order from {{Delivery Country}}?,DELIVERY,delivery_options,22,2
is it possible to order from <entity>?,is it possible to order from {{Delivery Country}}?,DELIVERY,delivery_options,22,2
is it possible to order from <entity>?,is it possible to order from {{Delivery Country}}?,DELIVERY,delivery_options,22,2
is it possible to order from <entity>?,is it possible to order from {{Delivery Country}}?,DELIVERY,delivery_options,22,2
is it possible to order from <entity>?,is it possible to order from {{Delivery Country}}?,DELIVERY,delivery_options,22,2
is it possible to place an order from <entity>?,is it possible to place an order from {{Delivery City}} ?,DELIVERY,delivery_options,21,3
is it possible to place an order from <entity>?,is it possible to place an order from {{Delivery City}} ?,DELIVERY,delivery_options,21,3
is it possible to place an order from <entity>?,is it possible to place an order from {{Delivery City}} ?,DELIVERY,delivery_options,21,3
is it possible to place an order from <entity>?,is it possible to place an order from {{Delivery City}} ?,DELIVERY,delivery_options,21,3
is it possible to place an order from <entity>?,is it possible to place an order from {{Delivery City}} ?,DELIVERY,delivery_options,21,3
is it possible to place an order from <entity>?,is it possible to place an order from {{Delivery City}} ?,DELIVERY,delivery_options,21,3
is it possible to place an order from <entity>?,is it possible to place an order from {{Delivery City}} ?,DELIVERY,delivery_options,21,3
is it possible to place an order from <entity>?,is it possible to place an order from {{Delivery City}}?,DELIVERY,delivery_options,21,3
is it possible to place an order from <entity>?,is it possible to place an order from {{Delivery City}}?,DELIVERY,delivery_options,21,3
is it possible to place an order from <entity>?,is it possible to place an order from {{Delivery City}}?,DELIVERY,delivery_options,21,3
is it possible to place an order from <entity>?,is it possible to place an order from {{Delivery City}}?,DELIVERY,delivery_options,21,3
is it possible to place an order from <entity>?,is it possible to place an order from {{Delivery City}}?,DELIVERY,delivery_options,21,3
is it possible to place an order from <entity>?,is it possible to place an order from {{Delivery City}}?,DELIVERY,delivery_options,21,3
is it possible to place an order from <entity>?,is it possible to place an order from {{Delivery City}}?,DELIVERY,delivery_options,21,3
is it possible to place an order from <entity>?,is it possible to place an order from {{Delivery City}}?,DELIVERY,delivery_options,21,3
is it possible to place an order from <entity>?,is it possible to place an order from {{Delivery Country}}?,DELIVERY,delivery_options,21,3
is it possible to place an order from <entity>?,is it possible to place an order from {{Delivery Country}}?,DELIVERY,delivery_options,21,3
is it possible to place an order from <entity>?,is it possible to place an order from {{Delivery Country}}?,DELIVERY,delivery_options,21,3
is it possible to place an order from <entity>?,is it possible to place an order from {{Delivery Country}}?,DELIVERY,delivery_options,21,3
is it possible to place an order from <entity>?,is it possible to place an order from {{Delivery Country}}?,DELIVERY,delivery_options,21,3
is it possible to place an order from <entity>?,is it possible to place an order from {{Delivery Country}}?,DELIVERY,delivery_options,21,3
do you ship to <entity>?,do you ship  to {{Delivery Country}}?,DELIVERY,delivery_options,20,4
do you ship to <entity>?,do you ship  to {{Delivery Country}}?,DELIVERY,delivery_options,20,4
do you ship to <entity>?,do you ship  to {{Delivery Country}}?,DELIVERY,delivery_options,20,4
do you ship to <entity>?,do you ship  to {{Delivery Country}}?,DELIVERY,delivery_options,20,4
do you ship to <entity>?,do you ship  to {{Delivery Country}}?,DELIVERY,delivery_options,20,4
do you ship to <entity>?,do you ship  to {{Delivery Country}}?,DELIVERY,delivery_options,20,4
do you ship to <entity>?,do you ship to {{Delivery City}}?,DELIVERY,delivery_options,20,4
do you ship to <entity>?,do you ship to {{Delivery City}}?,DELIVERY,delivery_options,20,4
do you ship to <entity>?,do you ship to {{Delivery City}}?,DELIVERY,delivery_options,20,4
do you ship to <entity>?,do you ship to {{Delivery City}}?,DELIVERY,delivery_options,20,4
do you ship to <entity>?,do you ship to {{Delivery City}}?,DELIVERY,delivery_options,20,4
do you ship to <entity>?,do you ship to {{Delivery City}}?,DELIVERY,delivery_options,20,4
do you ship to <entity>?,do you ship to {{Delivery City}}?,DELIVERY,delivery_options,20,4
do you ship to <entity>?,do you ship to {{Delivery City}}?,DELIVERY,delivery_options,20,4
do you ship to <entity>?,do you ship to {{Delivery Country}}?,DELIVERY,delivery_options,20,4
do you ship to <entity>?,do you ship to {{Delivery Country}}?,DELIVERY,delivery_options,20,4
do you ship to <entity>?,do you ship to {{Delivery Country}}?,DELIVERY,delivery_options,20,4
do you ship to <entity>?,do you ship to {{Delivery Country}}?,DELIVERY,delivery_options,20,4
do you ship to <entity>?,do you ship to {{Delivery Country}}?,DELIVERY,delivery_options,20,4
do you ship to <entity>?,do you ship to {{Delivery Country}}?,DELIVERY,delivery_options,20,4
can i place an order from <entity>?,can I place an order from {{Delivery City}}?,DELIVERY,delivery_options,14,5
can i place an order from <entity>?,can I place an order from {{Delivery City}}?,DELIVERY,delivery_options,14,5
can i place an order from <entity>?,can I place an order from {{Delivery City}}?,DELIVERY,delivery_options,14,5
can i place an order from <entity>?,can I place an order from {{Delivery City}}?,DELIVERY,delivery_options,14,5
can i place an order from <entity>?,can I place an order from {{Delivery City}}?,DELIVERY,delivery_options,14,5
can i place an order from <entity>?,can I place an order from {{Delivery City}}?,DELIVERY,delivery_options,14,5
can i place an order from <entity>?,can I place an order from {{Delivery City}}?,DELIVERY,delivery_options,14,5
can i place an order from <entity>?,can I place an order from {{Delivery City}}?,DELIVERY,delivery_options,14,5
can i place an order from <entity>?,can I place an order from {{Delivery Country}}?,DELIVERY,delivery_options,14,5
can i place an order from <entity>?,can I place an order from {{Delivery Country}}?,DELIVERY,delivery_options,14,5
can i place an order from <entity>?,can I place an order from {{Delivery Country}}?,DELIVERY,delivery_options,14,5
can i place an order from <entity>?,can I place an order from {{Delivery Country}}?,DELIVERY,delivery_options,14,5
can i place an order from <entity>?,can I place an order from {{Delivery Country}}?,DELIVERY,delivery_options,14,5
can i place an order from <entity>?,can I place an order from {{Delivery Country}}?,DELIVERY,delivery_options,14,5
can i place an order from <entity>,can i place an order from {{Delivery City}},DELIVERY,delivery_options,14,6
can i place an order from <entity>,can i place an order from {{Delivery City}},DELIVERY,delivery_options,14,6
can i place an order from <entity>,can i place an order from {{Delivery City}},DELIVERY,delivery_options,14,6
can i place an order from <entity>,can i place an order from {{Delivery City}},DELIVERY,delivery_options,14,6
can i place an order from <entity>,can i place an order from {{Delivery City}},DELIVERY,delivery_options,14,6
can i place an order from <entity>,can i place an order from {{Delivery City}},DELIVERY,delivery_options,14,6
can i place an order from <entity>,can i place an order from {{Delivery City}},DELIVERY,delivery_options,14,6
can i place an order from <entity>,can i place an order from {{Delivery City}},DELIVERY,delivery_options,14,6
can i place an order from <entity>,can i place an order from {{Delivery Country}},DELIVERY,delivery_options,14,6
can i place an order from <entity>,can i place an order from {{Delivery Country}},DELIVERY,delivery_options,14,6
can i place an order from <entity>,can i place an order from {{Delivery Country}},DELIVERY,delivery_options,14,6
can i place an order from <entity>,can i place an order from {{Delivery Country}},DELIVERY,delivery_options,14,6
can i place an order from <entity>,can i place an order from {{Delivery Country}},DELIVERY,delivery_options,14,6
can i place an order from <entity>,can i place an order from {{Delivery Country}},DELIVERY,delivery_options,14,6
shipments to <entity>,shipments to {{Delivery City}},DELIVERY,delivery_options,14,7
shipments to <entity>,shipments to {{Delivery City}},DELIVERY,delivery_options,14,7
shipments to <entity>,shipments to {{Delivery City}},DELIVERY,delivery_options,14,7
shipments to <entity>,shipments to {{Delivery City}},DELIVERY,delivery_options,14,7
shipments to <entity>,shipments to {{Delivery City}},DELIVERY,delivery_options,14,7
shipments to <entity>,shipments to {{Delivery City}},DELIVERY,delivery_options,14,7
shipments to <entity>,shipments to {{Delivery City}},DELIVERY,delivery_options,14,7
shipments to <entity>,shipments to {{Delivery City}},DELIVERY,delivery_options,14,7
shipments to <entity>,shipments to {{Delivery Country}},DELIVERY,delivery_options,14,7
shipments to <entity>,shipments to {{Delivery Country}},DELIVERY,delivery_options,14,7
shipments to <entity>,shipments to {{Delivery Country}},DELIVERY,delivery_options,14,7
shipments to <entity>,shipments to {{Delivery Country}},DELIVERY,delivery_options,14,7
shipments to <entity>,shipments to {{Delivery Country}},DELIVERY,delivery_options,14,7
shipments to <entity>,shipments to {{Delivery Country}},DELIVERY,delivery_options,14,7
can i order from <entity>?,can I order from {{Delivery City}}?,DELIVERY,delivery_options,14,8
can i order from <entity>?,can I order from {{Delivery City}}?,DELIVERY,delivery_options,14,8
can i order from <entity>?,can I order from {{Delivery City}}?,DELIVERY,delivery_options,14,8
can i order from <entity>?,can I order from {{Delivery City}}?,DELIVERY,delivery_options,14,8
can i order from <entity>?,can I order from {{Delivery City}}?,DELIVERY,delivery_options,14,8
can i order from <entity>?,can I order from {{Delivery City}}?,DELIVERY,delivery_options,14,8
can i order from <entity>?,can I order from {{Delivery City}}?,DELIVERY,delivery_options,14,8
can i order from <entity>?,can I order from {{Delivery City}}?,DELIVERY,delivery_options,14,8
can i order from <entity>?,can I order from {{Delivery Country}}?,DELIVERY,delivery_options,14,8
can i order from <entity>?,can I order from {{Delivery Country}}?,DELIVERY,delivery_options,14,8
can i order from <entity>?,can I order from {{Delivery Country}}?,DELIVERY,delivery_options,14,8
can i order from <entity>?,can I order from {{Delivery Country}}?,DELIVERY,delivery_options,14,8
can i order from <entity>?,can I order from {{Delivery Country}}?,DELIVERY,delivery_options,14,8
can i order from <entity>?,can I order from {{Delivery Country}}?,DELIVERY,delivery_options,14,8
can i order from <entity>,can i order from {{Delivery City}},DELIVERY,delivery_options,14,9
can i order from <entity>,can i order from {{Delivery City}},DELIVERY,delivery_options,14,9
can i order from <entity>,can i order from {{Delivery City}},DELIVERY,delivery_options,14,9
can i order from <entity>,can i order from {{Delivery City}},DELIVERY,delivery_options,14,9
can i order from <entity>,can i order from {{Delivery City}},DELIVERY,delivery_options,14,9
can i order from <entity>,can i order from {{Delivery City}},DELIVERY,delivery_options,14,9
can i order from <entity>,can i order from {{Delivery City}},DELIVERY,delivery_options,14,9
can i order from <entity>,can i order from {{Delivery City}},DELIVERY,delivery_options,14,9
can i order from <entity>,can i order from {{Delivery Country}},DELIVERY,delivery_options,14,9
can i order from <entity>,can i order from {{Delivery Country}},DELIVERY,delivery_options,14,9
can i order from <entity>,can i order from {{Delivery Country}},DELIVERY,delivery_options,14,9
can i order from <entity>,can i order from {{Delivery Country}},DELIVERY,delivery_options,14,9
can i order from <entity>,can i order from {{Delivery Country}},DELIVERY,delivery_options,14,9
can i order from <entity>,can i order from {{Delivery Country}},DELIVERY,delivery_options,14,9
do ya deliver to <entity>,do ya deliver to {{Delivery City}},DELIVERY,delivery_options,14,10
do ya deliver to <entity>,do ya deliver to {{Delivery City}},DELIVERY,delivery_options,14,10
do ya deliver to <entity>,do ya deliver to {{Delivery City}},DELIVERY,delivery_options,14,10
do ya deliver to <entity>,do ya deliver to {{Delivery City}},DELIVERY,delivery_options,14,10
do ya deliver to <entity>,do ya deliver to {{Delivery City}},DELIVERY,delivery_options,14,10
do ya deliver to <entity>,do ya deliver to {{Delivery City}},DELIVERY,delivery_options,14,10
do ya deliver to <entity>,do ya deliver to {{Delivery City}},DELIVERY,delivery_options,14,10
do ya deliver to <entity>,do ya deliver to {{Delivery City}},DELIVERY,delivery_options,14,10
do ya deliver to <entity>,do ya deliver to {{Delivery Country}},DELIVERY,delivery_options,14,10
do ya deliver to <entity>,do ya deliver to {{Delivery Country}},DELIVERY,delivery_options,14,10
do ya deliver to <entity>,do ya deliver to {{Delivery Country}},DELIVERY,delivery_options,14,10
do ya deliver to <entity>,do ya deliver to {{Delivery Country}},DELIVERY,delivery_options,14,10
do ya deliver to <entity>,do ya deliver to {{Delivery Country}},DELIVERY,delivery_options,14,10
do ya deliver to <entity>,do ya deliver to {{Delivery Country}},DELIVERY,delivery_options,14,10
is it possible to order from <entity>,is it possible to order from {{Delivery City}},DELIVERY,delivery_options,14,11
is it possible to order from <entity>,is it possible to order from {{Delivery City}},DELIVERY,delivery_options,14,11
is it possible to order from <entity>,is it possible to order from {{Delivery City}},DELIVERY,delivery_options,14,11
is it possible to order from <entity>,is it possible to order from {{Delivery City}},DELIVERY,delivery_options,14,11
is it possible to order from <entity>,is it possible to order from {{Delivery City}},DELIVERY,delivery_options,14,11
is it possible to order from <entity>,is it possible to order from {{Delivery City}},DELIVERY,delivery_options,14,11
is it possible to order from <entity>,is it possible to order from {{Delivery City}},DELIVERY,delivery_options,14,11
is it possible to order from <entity>,is it possible to order from {{Delivery City}},DELIVERY,delivery_options,14,11
is it possible to order from <entity>,is it possible to order from {{Delivery Country}},DELIVERY,delivery_options,14,11
is it possible to order from <entity>,is it possible to order from {{Delivery Country}},DELIVERY,delivery_options,14,11
is it possible to order from <entity>,is it possible to order from {{Delivery Country}},DELIVERY,delivery_options,14,11
is it possible to order from <entity>,is it possible to order from {{Delivery Country}},DELIVERY,delivery_options,14,11
is it possible to order from <entity>,is it possible to order from {{Delivery Country}},DELIVERY,delivery_options,14,11
is it possible to order from <entity>,is it possible to order from {{Delivery Country}},DELIVERY,delivery_options,14,11
is it possible to place an order from <entity>,is it possible to place an order from {{Delivery City}},DELIVERY,delivery_options,14,12
is it possible to place an order from <entity>,is it possible to place an order from {{Delivery City}},DELIVERY,delivery_options,14,12
is it possible to place an order from <entity>,is it possible to place an order from {{Delivery City}},DELIVERY,delivery_options,14,12
is it possible to place an order from <entity>,is it possible to place an order from {{Delivery City}},DELIVERY,delivery_options,14,12
is it possible to place an order from <entity>,is it possible to place an order from {{Delivery City}},DELIVERY,delivery_options,14,12
is it possible to place an order from <entity>,is it possible to place an order from {{Delivery City}},DELIVERY,delivery_options,14,12
is it possible to place an order from <entity>,is it possible to place an order from {{Delivery City}},DELIVERY,delivery_options,14,12
is it possible to place an order from <entity>,is it possible to place an order from {{Delivery City}},DELIVERY,delivery_options,14,12
is it possible to place an order from <entity>,is it possible to place an order from {{Delivery Country}},DELIVERY,delivery_options,14,12
is it possible to place an order from <entity>,is it possible to place an order from {{Delivery Country}},DELIVERY,delivery_options,14,12
is it possible to place an order from <entity>,is it possible to place an order from {{Delivery Country}},DELIVERY,delivery_options,14,12
is it possible to place an order from <entity>,is it possible to place an order from {{Delivery Country}},DELIVERY,delivery_options,14,12
is it possible to place an order from <entity>,is it possible to place an order from {{Delivery Country}},DELIVERY,delivery_options,14,12
is it possible to place an order from <entity>,is it possible to place an order from {{Delivery Country}},DELIVERY,delivery_options,14,12
shipping to <entity>,shipping to {{Delivery City}},DELIVERY,delivery_options,13,13
shipping to <entity>,shipping to {{Delivery City}},DELIVERY,delivery_options,13,13
shipping to <entity>,shipping to {{Delivery City}},DELIVERY,delivery_options,13,13
shipping to <entity>,shipping to {{Delivery City}},DELIVERY,delivery_options,13,13
shipping to <entity>,shipping to {{Delivery City}},DELIVERY,delivery_options,13,13
shipping to <entity>,shipping to {{Delivery City}},DELIVERY,delivery_options,13,13
shipping to <entity>,shipping to {{Delivery City}},DELIVERY,delivery_options,13,13
shipping to <entity>,shipping to {{Delivery Country}},DELIVERY,delivery_options,13,13
shipping to <entity>,shipping to {{Delivery Country}},DELIVERY,delivery_options,13,13
shipping to <entity>,shipping to {{Delivery Country}},DELIVERY,delivery_options,13,13
shipping to <entity>,shipping to {{Delivery Country}},DELIVERY,delivery_options,13,13
shipping to <entity>,shipping to {{Delivery Country}},DELIVERY,delivery_options,13,13
shipping to <entity>,shipping to {{Delivery Country}},DELIVERY,delivery_options,13,13
deliveries to <entity>,deliveries to {{Delivery City}},DELIVERY,delivery_options,13,14
deliveries to <entity>,deliveries to {{Delivery City}},DELIVERY,delivery_options,13,14
deliveries to <entity>,deliveries to {{Delivery City}},DELIVERY,delivery_options,13,14
deliveries to <entity>,deliveries to {{Delivery City}},DELIVERY,delivery_options,13,14
deliveries to <entity>,deliveries to {{Delivery City}},DELIVERY,delivery_options,13,14
deliveries to <entity>,deliveries to {{Delivery City}},DELIVERY,delivery_options,13,14
deliveries to <entity>,deliveries to {{Delivery City}},DELIVERY,delivery_options,13,14
deliveries to <entity>,deliveries to {{Delivery City}},DELIVERY,delivery_options,13,14
deliveries to <entity>,deliveries to {{Delivery Country}},DELIVERY,delivery_options,13,14
deliveries to <entity>,deliveries to {{Delivery Country}},DELIVERY,delivery_options,13,14
deliveries to <entity>,deliveries to {{Delivery Country}},DELIVERY,delivery_options,13,14
deliveries to <entity>,deliveries to {{Delivery Country}},DELIVERY,delivery_options,13,14
deliveries to <entity>,deliveries to {{Delivery Country}},DELIVERY,delivery_options,13,14
switch to <entity> account,switch to  {{Account Category}} account,ACCOUNT,switch_account,12,15
switch to <entity> account,switch to  {{Account Category}} account,ACCOUNT,switch_account,12,15
switch to <entity> account,switch to  {{Account Category}} account,ACCOUNT,switch_account,12,15
switch to <entity> account,switch to  {{Account Type}} account,ACCOUNT,switch_account,12,15
switch to <entity> account,switch to  {{Account Type}} account,ACCOUNT,switch_account,12,15
switch to <entity> account,switch to  {{Account Type}} account,ACCOUNT,switch_account,12,15
switch to <entity> account,switch to {{Account Category}} account,ACCOUNT,switch_account,12,15
switch to <entity> account,switch to {{Account Category}} account,ACCOUNT,switch_account,12,15
switch to <entity> account,switch to {{Account Category}} account,ACCOUNT,switch_account,12,15
switch to <entity> account,switch to {{Account Type}} account,ACCOUNT,switch_account,12,15
switch to <entity> account,switch to {{Account Type}} account,ACCOUNT,switch_account,12,15
switch to <entity> account,switch to {{Account Type}} account,ACCOUNT,switch_account,12,15
rebating <entity><entity>,rebating  {{Currency Symbol}}{{Refund Amount}},REFUND,get_refund,10,16
rebating <entity><entity>,rebating  {{Currency Symbol}}{{Refund Amount}},REFUND,get_refund,10,16
rebating <entity><entity>,rebating  {{Currency Symbol}}{{Refund Amount}},REFUND,get_refund,10,16
rebating <entity><entity>,rebating  {{Currency Symbol}}{{Refund Amount}},REFUND,get_refund,10,16
rebating <entity><entity>,rebating  {{Currency Symbol}}{{Refund Amount}},REFUND,get_refund,10,16
rebating <entity><entity>,rebating {{Currency Symbol}}{{Refund Amount}},REFUND,get_refund,10,16
rebating <entity><entity>,rebating {{Currency Symbol}}{{Refund Amount}},REFUND,get_refund,10,16
rebating <entity><entity>,rebating {{Currency Symbol}}{{Refund Amount}},REFUND,get_refund,10,16
rebating <entity><entity>,rebating {{Currency Symbol}}{{Refund Amount}},REFUND,get_refund,10,16
rebating <entity><entity>,rebating {{Currency Symbol}}{{Refund Amount}},REFUND,get_refund,10,16
order <entity> status,order  {{Order Number}} status,ORDER,track_order,10,17
order <entity> status,order  {{Order Number}} status,ORDER,track_order,10,17
order <entity> status,order  {{Order Number}} status,ORDER,track_order,10,17
order <entity> status,order  {{Order Number}} status,ORDER,track_order,10,17
order <entity> status,order  {{Order Number}} status,ORDER,track_order,10,17
order <entity> status,order {{Order Number}} status,ORDER,track_order,10,17
order <entity> status,order {{Order Number}} status,ORDER,track_order,10,17
order <entity> status,order {{Order Number}} status,ORDER,track_order,10,17
order <entity> status,order {{Order Number}} status,ORDER,track_order,10,17
order <entity> status,order {{Order Number}} status,ORDER,track_order,10,17
i expect a compensation of <entity> dollars,I expect a compensation of {{Refund Amount}} dollars,REFUND,track_refund,10,18
i expect a compensation of <entity> dollars,I expect a compensation of {{Refund Amount}} dollars,REFUND,track_refund,10,18
i expect a compensation of <entity> dollars,I expect a compensation of {{Refund Amount}} dollars,REFUND,track_refund,10,18
i expect a compensation of <entity> dollars,I expect a compensation of {{Refund Amount}} dollars,REFUND,track_refund,10,18
i expect a compensation of <entity> dollars,I expect a compensation of {{Refund Amount}} dollars,REFUND,track_refund,10,18
i expect a compensation of <entity> dollars,i expect a compensation of {{Refund Amount}} dollars,REFUND,track_refund,10,18
i expect a compensation of <entity> dollars,i expect a compensation of {{Refund Amount}} dollars,REFUND,track_refund,10,18
i expect a compensation of <entity> dollars,i expect a compensation of {{Refund Amount}} dollars,REFUND,track_refund,10,18
i expect a compensation of <entity> dollars,i expect a compensation of {{Refund Amount}} dollars,REFUND,track_refund,10,18
i expect a compensation of <entity> dollars,i expect a compensation of {{Refund Amount}} dollars,REFUND,track_refund,10,18
i expect a rebate of <entity> dollars,I expect a rebate of {{Refund Amount}} dollars,REFUND,track_refund,10,19
i expect a rebate of <entity> dollars,I expect a rebate of {{Refund Amount}} dollars,REFUND,track_refund,10,19
i expect a rebate of <entity> dollars,I expect a rebate of {{Refund Amount}} dollars,REFUND,track_refund,10,19
i expect a rebate of <entity> dollars,I expect a rebate of {{Refund Amount}} dollars,REFUND,track_refund,10,19
i expect a rebate of <entity> dollars,I expect a rebate of {{Refund Amount}} dollars,REFUND,track_refund,10,19
i expect a rebate of <entity> dollars,i expect a rebate of {{Refund Amount}} dollars,REFUND,track_refund,10,19
i expect a rebate of <entity> dollars,i expect a rebate of {{Refund Amount}} dollars,REFUND,track_refund,10,19
i expect a rebate of <entity> dollars,i expect a rebate of {{Refund Amount}} dollars,REFUND,track_refund,10,19
i expect a rebate of <entity> dollars,i expect a rebate of {{Refund Amount}} dollars,REFUND,track_refund,10,19
i expect a rebate of <entity> dollars,i expect a rebate of {{Refund Amount}} dollars,REFUND,track_refund,10,19
i expect a compensation of <entity><entity>,I expect a compensation of {{Currency Symbol}}{{Refund Amount}},REFUND,track_refund,10,20
i expect a compensation of <entity><entity>,I expect a compensation of {{Currency Symbol}}{{Refund Amount}},REFUND,track_refund,10,20
i expect a compensation of <entity><entity>,I expect a compensation of {{Currency Symbol}}{{Refund Amount}},REFUND,track_refund,10,20
i expect a compensation of <entity><entity>,I expect a compensation of {{Currency Symbol}}{{Refund Amount}},REFUND,track_refund,10,20
i expect a compensation of <entity><entity>,I expect a compensation of {{Currency Symbol}}{{Refund Amount}},REFUND,track_refund,10,20
i expect a compensation of <entity><entity>,i expect a compensation of {{Currency Symbol}}{{Refund Amount}},REFUND,track_refund,10,20
i expect a compensation of <entity><entity>,i expect a compensation of {{Currency Symbol}}{{Refund Amount}},REFUND,track_refund,10,20
i expect a compensation of <entity><entity>,i expect a compensation of {{Currency Symbol}}{{Refund Amount}},REFUND,track_refund,10,20
i expect a compensation of <entity><entity>,i expect a compensation of {{Currency Symbol}}{{Refund Amount}},REFUND,track_refund,10,20
i expect a compensation of <entity><entity>,i expect a compensation of {{Currency Symbol}}{{Refund Amount}},REFUND,track_refund,10,20
i'm waiting for a compensation of <entity><entity>,I'm waiting for a  compensation of {{Currency Symbol}}{{Refund Amount}},REFUND,track_refund,10,21
i'm waiting for a compensation of <entity><entity>,I'm waiting for a  compensation of {{Currency Symbol}}{{Refund Amount}},REFUND,track_refund,10,21
i'm waiting for a compensation of <entity><entity>,I'm waiting for a  compensation of {{Currency Symbol}}{{Refund Amount}},REFUND,track_refund,10,21
i'm waiting for a compensation of <entity><entity>,I'm waiting for a  compensation of {{Currency Symbol}}{{Refund Amount}},REFUND,track_refund,10,21
i'm waiting for a compensation of <entity><entity>,I'm waiting for a  compensation of {{Currency Symbol}}{{Refund Amount}},REFUND,track_refund,10,21
i'm waiting for a compensation of <entity><entity>,I'm waiting for a compensation of {{Currency Symbol}}{{Refund Amount}},REFUND,track_refund,10,21
i'm waiting for a compensation of <entity><entity>,I'm waiting for a compensation of {{Currency Symbol}}{{Refund Amount}},REFUND,track_refund,10,21
i'm waiting for a compensation of <entity><entity>,I'm waiting for a compensation of {{Currency Symbol}}{{Refund Amount}},REFUND,track_refund,10,21
i'm waiting for a compensation of <entity><entity>,I'm waiting for a compensation of {{Currency Symbol}}{{Refund Amount}},REFUND,track_refund,10,21
i'm waiting for a compensation of <entity><entity>,I'm waiting for a compensation of {{Currency Symbol}}{{Refund Amount}},REFUND,track_refund,10,21
rebating <entity> dollars,rebating  {{Refund Amount}} dollars,REFUND,get_refund,10,22
rebating <entity> dollars,rebating  {{Refund Amount}} dollars,REFUND,get_refund,10,22
rebating <entity> dollars,rebating  {{Refund Amount}} dollars,REFUND,get_refund,10,22
rebating <entity> dollars,rebating  {{Refund Amount}} dollars,REFUND,get_refund,10,22
rebating <entity> dollars,rebating  {{Refund Amount}} dollars,REFUND,get_refund,10,22
rebating <entity> dollars,rebating {{Refund Amount}} dollars,REFUND,get_refund,10,22
