flags,count,percentage,intent,intent_count,percentage_within_flag
BLM,1297,4.826585,change_shipping_address,81,6.245181
BLM,1297,4.826585,get_refund,76,5.859676
BLM,1297,4.826585,change_order,72,5.551272
BLM,1297,4.826585,delete_account,61,4.703161
BLM,1297,4.826585,check_invoice,49,3.777949
BLM,1297,4.826585,track_refund,47,3.623747
BLM,1297,4.826585,get_invoice,40,3.08404
BLM,1297,4.826585,create_account,21,1.619121
BLM,1297,4.826585,cancel_order,20,1.54202
BLM,1297,4.826585,recover_password,8,0.616808
BLM,1297,4.826585,edit_account,7,0.539707
BLM,1297,4.826585,delivery_period,2,0.154202
BILQ,1057,3.933462,review,96,9.082308
BILQ,1057,3.933462,contact_customer_service,72,6.811731
BILQ,1057,3.933462,recover_password,60,5.676443
BILQ,1057,3.933462,track_order,58,5.487228
BILQ,1057,3.933462,delivery_period,55,5.203406
BILQ,1057,3.933462,newsletter_subscription,55,5.203406
BILQ,1057,3.933462,check_payment_methods,54,5.108798
BILQ,1057,3.933462,complaint,48,4.541154
BILQ,1057,3.933462,contact_human_agent,47,4.446547
BILQ,1057,3.933462,switch_account,43,4.068117
BILQ,1057,3.933462,create_account,39,3.689688
BILQ,1057,3.933462,get_refund,39,3.689688
BILQ,1057,3.933462,change_order,37,3.500473
BILQ,1057,3.933462,delete_account,37,3.500473
BILQ,1057,3.933462,registration_problems,35,3.311258
BILQ,1057,3.933462,change_shipping_address,32,3.027436
BILQ,1057,3.933462,check_invoice,32,3.027436
BILQ,1057,3.933462,get_invoice,32,3.027436
BILQ,1057,3.933462,check_cancellation_fee,31,2.932829
BILQ,1057,3.933462,check_refund_policy,31,2.932829
BILQ,1057,3.933462,set_up_shipping_address,31,2.932829
BILQ,1057,3.933462,track_refund,25,2.365184
BILQ,1057,3.933462,cancel_order,21,1.986755
BILQ,1057,3.933462,payment_issue,17,1.608325
BILQ,1057,3.933462,delivery_options,11,1.040681
BILQ,1057,3.933462,place_order,11,1.040681
BILQ,1057,3.933462,edit_account,8,0.756859
BLQZ,970,3.609705,recover_password,72,7.42268
BLQZ,970,3.609705,complaint,68,7.010309
BLQZ,970,3.609705,track_refund,68,7.010309
BLQZ,970,3.609705,delivery_period,63,6.494845
BLQZ,970,3.609705,check_refund_policy,59,6.082474
BLQZ,970,3.609705,check_payment_methods,58,5.979381
BLQZ,970,3.609705,contact_customer_service,57,5.876289
BLQZ,970,3.609705,review,56,5.773196
BLQZ,970,3.609705,newsletter_subscription,52,5.360825
BLQZ,970,3.609705,change_shipping_address,48,4.948454
BLQZ,970,3.609705,contact_human_agent,46,4.742268
BLQZ,970,3.609705,set_up_shipping_address,44,4.536082
BLQZ,970,3.609705,check_invoice,36,3.71134
BLQZ,970,3.609705,track_order,34,3.505155
BLQZ,970,3.609705,delete_account,32,3.298969
BLQZ,970,3.609705,get_invoice,32,3.298969
BLQZ,970,3.609705,check_cancellation_fee,21,2.164948
BLQZ,970,3.609705,registration_problems,20,2.061856
BLQZ,970,3.609705,cancel_order,18,1.85567
BLQZ,970,3.609705,change_order,18,1.85567
BLQZ,970,3.609705,create_account,17,1.752577
BLQZ,970,3.609705,get_refund,16,1.649485
BLQZ,970,3.609705,switch_account,16,1.649485
BLQZ,970,3.609705,payment_issue,13,1.340206
BLQZ,970,3.609705,place_order,6,0.618557
BLZ,902,3.356654,track_refund,69,7.649667
BLZ,902,3.356654,change_shipping_address,60,6.651885
BLZ,902,3.356654,check_refund_policy,59,6.54102
BLZ,902,3.356654,set_up_shipping_address,55,6.097561
BLZ,902,3.356654,contact_human_agent,51,5.654102
BLZ,902,3.356654,newsletter_subscription,46,5.099778
BLZ,902,3.356654,check_payment_methods,45,4.988914
BLZ,902,3.356654,complaint,44,4.878049
BLZ,902,3.356654,change_order,41,4.545455
BLZ,902,3.356654,delivery_period,39,4.323725
BLZ,902,3.356654,contact_customer_service,35,3.880266
BLZ,902,3.356654,review,35,3.880266
BLZ,902,3.356654,cancel_order,34,3.769401
BLZ,902,3.356654,delete_account,34,3.769401
BLZ,902,3.356654,recover_password,33,3.658537
BLZ,902,3.356654,check_invoice,28,3.104213
BLZ,902,3.356654,track_order,28,3.104213
BLZ,902,3.356654,check_cancellation_fee,27,2.993348
BLZ,902,3.356654,get_invoice,27,2.993348
BLZ,902,3.356654,create_account,26,2.882483
BLZ,902,3.356654,registration_problems,20,2.217295
BLZ,902,3.356654,get_refund,15,1.662971
BLZ,902,3.356654,payment_issue,15,1.662971
BLZ,902,3.356654,edit_account,14,1.552106
BLZ,902,3.356654,place_order,14,1.552106
BLZ,902,3.356654,switch_account,8,0.886918
BKL,862,3.2078,edit_account,254,29.466357
BKL,862,3.2078,create_account,168,19.489559
BKL,862,3.2078,delete_account,108,12.529002
BKL,862,3.2078,track_order,73,8.468677
BKL,862,3.2078,check_invoice,42,4.87239
BKL,862,3.2078,get_invoice,36,4.176334
BKL,862,3.2078,change_order,26,3.016241
BKL,862,3.2078,switch_account,24,2.784223
BKL,862,3.2078,registration_problems,21,2.436195
BKL,862,3.2078,complaint,14,1.62413
BKL,862,3.2078,cancel_order,13,1.508121
BKL,862,3.2078,change_shipping_address,13,1.508121
BKL,862,3.2078,check_payment_methods,13,1.508121
BKL,862,3.2078,payment_issue,9,1.044084
BKL,862,3.2078,review,9,1.044084
BKL,862,3.2078,check_cancellation_fee,8,0.928074
BKL,862,3.2078,track_refund,8,0.928074
BKL,862,3.2078,contact_human_agent,6,0.696056
BKL,862,3.2078,get_refund,6,0.696056
BKL,862,3.2078,place_order,4,0.464037
BKL,862,3.2078,newsletter_subscription,3,0.348028
BKL,862,3.2078,check_refund_policy,2,0.232019
BKL,862,3.2078,set_up_shipping_address,2,0.232019
BLMQ,600,2.232807,payment_issue,126,21.0
BLMQ,600,2.232807,place_order,102,17.0
BLMQ,600,2.232807,get_refund,62,10.333333
BLMQ,600,2.232807,registration_problems,59,9.833333
BLMQ,600,2.232807,delivery_options,42,7.0
BLMQ,600,2.232807,change_order,38,6.333333
BLMQ,600,2.232807,check_cancellation_fee,35,5.833333
BLMQ,600,2.232807,change_shipping_address,25,4.166667
BLMQ,600,2.232807,check_invoice,20,3.333333
BLMQ,600,2.232807,get_invoice,20,3.333333
BLMQ,600,2.232807,delete_account,13,2.166667
BLMQ,600,2.232807,track_refund,13,2.166667
BLMQ,600,2.232807,set_up_shipping_address,12,2.0
BLMQ,600,2.232807,create_account,11,1.833333
BLMQ,600,2.232807,edit_account,11,1.833333
BLMQ,600,2.232807,cancel_order,5,0.833333
BLMQ,600,2.232807,recover_password,5,0.833333
BLMQ,600,2.232807,delivery_period,1,0.166667
BEL,533,1.983477,get_invoice,49,9.193246
BEL,533,1.983477,delete_account,47,8.818011
BEL,533,1.983477,contact_human_agent,46,8.630394
BEL,533,1.983477,set_up_shipping_address,36,6.754221
BEL,533,1.983477,recover_password,32,6.003752
BEL,533,1.983477,review,29,5.440901
BEL,533,1.983477,check_invoice,28,5.253283
BEL,533,1.983477,registration_problems,25,4.690432
BEL,533,1.983477,change_shipping_address,23,4.315197
BEL,533,1.983477,newsletter_subscription,23,4.315197
BEL,533,1.983477,check_cancellation_fee,20,3.752345
BEL,533,1.983477,check_payment_methods,20,3.752345
BEL,533,1.983477,create_account,18,3.377111
BEL,533,1.983477,switch_account,18,3.377111
BEL,533,1.983477,get_refund,17,3.189493
BEL,533,1.983477,complaint,16,3.001876
BEL,533,1.983477,track_refund,14,2.626642
BEL,533,1.983477,cancel_order,12,2.251407
BEL,533,1.983477,contact_customer_service,12,2.251407
BEL,533,1.983477,delivery_period,11,2.06379
BEL,533,1.983477,place_order,9,1.688555
BEL,533,1.983477,track_order,8,1.500938
BEL,533,1.983477,check_refund_policy,7,1.313321
BEL,533,1.983477,payment_issue,6,1.125704
BEL,533,1.983477,delivery_options,5,0.938086
BEL,533,1.983477,change_order,1,0.187617
BEL,533,1.983477,edit_account,1,0.187617
BILM,521,1.938821,place_order,104,19.961612
BILM,521,1.938821,delivery_options,79,15.163148
BILM,521,1.938821,payment_issue,75,14.395393
BILM,521,1.938821,check_cancellation_fee,68,13.051823
BILM,521,1.938821,registration_problems,50,9.596929
BILM,521,1.938821,get_refund,46,8.829175
BILM,521,1.938821,get_invoice,23,4.414587
BILM,521,1.938821,track_refund,21,4.03071
BILM,521,1.938821,change_order,20,3.838772
BILM,521,1.938821,check_invoice,16,3.071017
BILM,521,1.938821,delete_account,8,1.535509
BILM,521,1.938821,edit_account,5,0.959693
BILM,521,1.938821,create_account,3,0.575816
BILM,521,1.938821,delivery_period,2,0.383877
BILM,521,1.938821,contact_customer_service,1,0.191939
BCL,484,1.801131,delivery_period,36,7.438017
BCL,484,1.801131,newsletter_subscription,34,7.024793
BCL,484,1.801131,complaint,33,6.818182
BCL,484,1.801131,track_refund,32,6.61157
BCL,484,1.801131,check_payment_methods,29,5.991736
BCL,484,1.801131,recover_password,28,5.785124
BCL,484,1.801131,review,28,5.785124
BCL,484,1.801131,check_refund_policy,25,5.165289
BCL,484,1.801131,change_order,24,4.958678
BCL,484,1.801131,change_shipping_address,22,4.545455
BCL,484,1.801131,set_up_shipping_address,22,4.545455
BCL,484,1.801131,check_invoice,19,3.92562
BCL,484,1.801131,track_order,17,3.512397
BCL,484,1.801131,contact_human_agent,16,3.305785
BCL,484,1.801131,switch_account,16,3.305785
BCL,484,1.801131,create_account,15,3.099174
BCL,484,1.801131,delete_account,13,2.68595
BCL,484,1.801131,get_invoice,13,2.68595
BCL,484,1.801131,contact_customer_service,12,2.479339
BCL,484,1.801131,cancel_order,11,2.272727
BCL,484,1.801131,check_cancellation_fee,11,2.272727
BCL,484,1.801131,delivery_options,11,2.272727
BCL,484,1.801131,payment_issue,7,1.446281
BCL,484,1.801131,place_order,5,1.033058
BCL,484,1.801131,edit_account,4,0.826446
BCL,484,1.801131,registration_problems,1,0.206612
BCIL,427,1.589015,contact_customer_service,37,8.665105
BCIL,427,1.589015,set_up_shipping_address,34,7.962529
BCIL,427,1.589015,change_shipping_address,32,7.494145
BCIL,427,1.589015,check_payment_methods,30,7.025761
BCIL,427,1.589015,review,27,6.323185
BCIL,427,1.589015,newsletter_subscription,26,6.088993
BCIL,427,1.589015,delivery_options,21,4.918033
BCIL,427,1.589015,delivery_period,21,4.918033
BCIL,427,1.589015,switch_account,20,4.683841
BCIL,427,1.589015,change_order,19,4.449649
BCIL,427,1.589015,check_cancellation_fee,18,4.215457
BCIL,427,1.589015,check_refund_policy,18,4.215457
BCIL,427,1.589015,complaint,18,4.215457
BCIL,427,1.589015,track_refund,18,4.215457
BCIL,427,1.589015,get_invoice,15,3.512881
BCIL,427,1.589015,recover_password,11,2.576112
BCIL,427,1.589015,check_invoice,10,2.34192
BCIL,427,1.589015,contact_human_agent,10,2.34192
BCIL,427,1.589015,track_order,10,2.34192
BCIL,427,1.589015,create_account,8,1.873536
BCIL,427,1.589015,place_order,6,1.405152
BCIL,427,1.589015,delete_account,4,0.936768
BCIL,427,1.589015,payment_issue,4,0.936768
BCIL,427,1.589015,registration_problems,4,0.936768
BCIL,427,1.589015,edit_account,3,0.702576
BCIL,427,1.589015,cancel_order,2,0.468384
BCIL,427,1.589015,get_refund,1,0.234192
BILQZ,412,1.533194,review,39,9.466019
BILQZ,412,1.533194,recover_password,34,8.252427
BILQZ,412,1.533194,check_payment_methods,30,7.281553
BILQZ,412,1.533194,complaint,29,7.038835
BILQZ,412,1.533194,contact_customer_service,28,6.796117
BILQZ,412,1.533194,newsletter_subscription,28,6.796117
BILQZ,412,1.533194,delivery_period,25,6.067961
BILQZ,412,1.533194,get_refund,21,5.097087
BILQZ,412,1.533194,contact_human_agent,20,4.854369
BILQZ,412,1.533194,track_order,20,4.854369
BILQZ,412,1.533194,set_up_shipping_address,17,4.126214
BILQZ,412,1.533194,check_invoice,15,3.640777
BILQZ,412,1.533194,check_refund_policy,13,3.15534
BILQZ,412,1.533194,registration_problems,13,3.15534
BILQZ,412,1.533194,change_order,11,2.669903
BILQZ,412,1.533194,change_shipping_address,11,2.669903
BILQZ,412,1.533194,check_cancellation_fee,11,2.669903
BILQZ,412,1.533194,place_order,9,2.184466
BILQZ,412,1.533194,delete_account,8,1.941748
BILQZ,412,1.533194,create_account,7,1.699029
BILQZ,412,1.533194,get_invoice,7,1.699029
BILQZ,412,1.533194,switch_account,7,1.699029
BILQZ,412,1.533194,payment_issue,4,0.970874
BILQZ,412,1.533194,cancel_order,3,0.728155
BILQZ,412,1.533194,delivery_options,1,0.242718
BILQZ,412,1.533194,track_refund,1,0.242718
BILP,363,1.350848,delivery_period,30,8.264463
BILP,363,1.350848,cancel_order,22,6.060606
BILP,363,1.350848,check_payment_methods,22,6.060606
BILP,363,1.350848,contact_human_agent,22,6.060606
BILP,363,1.350848,check_refund_policy,20,5.509642
BILP,363,1.350848,review,20,5.509642
BILP,363,1.350848,set_up_shipping_address,20,5.509642
BILP,363,1.350848,recover_password,19,5.23416
BILP,363,1.350848,create_account,18,4.958678
BILP,363,1.350848,contact_customer_service,17,4.683196
BILP,363,1.350848,newsletter_subscription,17,4.683196
BILP,363,1.350848,switch_account,16,4.407713
BILP,363,1.350848,track_refund,15,4.132231
BILP,363,1.350848,change_shipping_address,14,3.856749
BILP,363,1.350848,complaint,14,3.856749
BILP,363,1.350848,delete_account,11,3.030303
BILP,363,1.350848,change_order,9,2.479339
BILP,363,1.350848,check_cancellation_fee,9,2.479339
BILP,363,1.350848,registration_problems,9,2.479339
BILP,363,1.350848,track_order,8,2.203857
BILP,363,1.350848,get_refund,7,1.928375
BILP,363,1.350848,check_invoice,6,1.652893
BILP,363,1.350848,delivery_options,6,1.652893
BILP,363,1.350848,payment_issue,6,1.652893
BILP,363,1.350848,place_order,4,1.101928
BILP,363,1.350848,get_invoice,2,0.550964
B,353,1.313635,cancel_order,67,18.98017
B,353,1.313635,switch_account,61,17.280453
B,353,1.313635,create_account,29,8.215297
B,353,1.313635,track_refund,27,7.648725
B,353,1.313635,check_invoice,24,6.798867
B,353,1.313635,check_refund_policy,17,4.815864
B,353,1.313635,get_invoice,17,4.815864
B,353,1.313635,track_order,16,4.532578
B,353,1.313635,change_order,15,4.249292
B,353,1.313635,contact_human_agent,11,3.116147
B,353,1.313635,delivery_period,11,3.116147
B,353,1.313635,review,10,2.832861
B,353,1.313635,contact_customer_service,8,2.266289
B,353,1.313635,newsletter_subscription,8,2.266289
B,353,1.313635,registration_problems,5,1.416431
B,353,1.313635,check_payment_methods,4,1.133144
B,353,1.313635,complaint,4,1.133144
B,353,1.313635,place_order,4,1.133144
B,353,1.313635,set_up_shipping_address,4,1.133144
B,353,1.313635,change_shipping_address,3,0.849858
B,353,1.313635,get_refund,3,0.849858
B,353,1.313635,check_cancellation_fee,1,0.283286
B,353,1.313635,delivery_options,1,0.283286
B,353,1.313635,edit_account,1,0.283286
B,353,1.313635,payment_issue,1,0.283286
B,353,1.313635,recover_password,1,0.283286
BK,352,1.309914,track_order,63,17.897727
BK,352,1.309914,switch_account,58,16.477273
BK,352,1.309914,change_order,31,8.806818
BK,352,1.309914,create_account,29,8.238636
BK,352,1.309914,check_invoice,26,7.386364
BK,352,1.309914,get_invoice,26,7.386364
BK,352,1.309914,cancel_order,20,5.681818
BK,352,1.309914,registration_problems,15,4.261364
BK,352,1.309914,review,15,4.261364
BK,352,1.309914,payment_issue,9,2.556818
BK,352,1.309914,track_refund,8,2.272727
BK,352,1.309914,set_up_shipping_address,7,1.988636
BK,352,1.309914,edit_account,6,1.704545
BK,352,1.309914,get_refund,6,1.704545
BK,352,1.309914,place_order,6,1.704545
BK,352,1.309914,newsletter_subscription,5,1.420455
BK,352,1.309914,delete_account,4,1.136364
BK,352,1.309914,check_payment_methods,3,0.852273
BK,352,1.309914,contact_human_agent,3,0.852273
BK,352,1.309914,change_shipping_address,2,0.568182
BK,352,1.309914,check_refund_policy,2,0.568182
BK,352,1.309914,complaint,2,0.568182
BK,352,1.309914,delivery_options,2,0.568182
BK,352,1.309914,check_cancellation_fee,1,0.284091
BK,352,1.309914,contact_customer_service,1,0.284091
BK,352,1.309914,delivery_period,1,0.284091
BK,352,1.309914,recover_password,1,0.284091
BQ,340,1.265258,cancel_order,79,23.235294
BQ,340,1.265258,switch_account,49,14.411765
BQ,340,1.265258,get_invoice,27,7.941176
BQ,340,1.265258,create_account,25,7.352941
BQ,340,1.265258,track_order,25,7.352941
BQ,340,1.265258,track_refund,22,6.470588
BQ,340,1.265258,check_refund_policy,19,5.588235
BQ,340,1.265258,check_invoice,13,3.823529
BQ,340,1.265258,set_up_shipping_address,10,2.941176
BQ,340,1.265258,change_order,9,2.647059
BQ,340,1.265258,delivery_period,8,2.352941
BQ,340,1.265258,newsletter_subscription,8,2.352941
BQ,340,1.265258,contact_human_agent,7,2.058824
BQ,340,1.265258,contact_customer_service,6,1.764706
BQ,340,1.265258,change_shipping_address,5,1.470588
BQ,340,1.265258,complaint,5,1.470588
BQ,340,1.265258,check_payment_methods,4,1.176471
BQ,340,1.265258,payment_issue,4,1.176471
BQ,340,1.265258,check_cancellation_fee,3,0.882353
BQ,340,1.265258,get_refund,3,0.882353
BQ,340,1.265258,place_order,3,0.882353
BQ,340,1.265258,edit_account,2,0.588235
BQ,340,1.265258,registration_problems,2,0.588235
BQ,340,1.265258,recover_password,1,0.294118
BQ,340,1.265258,review,1,0.294118
BKLZ,322,1.198273,edit_account,117,36.335404
BKLZ,322,1.198273,create_account,62,19.254658
BKLZ,322,1.198273,delete_account,50,15.52795
BKLZ,322,1.198273,switch_account,19,5.900621
BKLZ,322,1.198273,get_invoice,15,4.658385
BKLZ,322,1.198273,change_order,14,4.347826
BKLZ,322,1.198273,track_order,12,3.726708
BKLZ,322,1.198273,check_invoice,11,3.416149
BKLZ,322,1.198273,cancel_order,6,1.863354
BKLZ,322,1.198273,set_up_shipping_address,5,1.552795
BKLZ,322,1.198273,check_payment_methods,2,0.621118
BKLZ,322,1.198273,complaint,2,0.621118
BKLZ,322,1.198273,payment_issue,2,0.621118
BKLZ,322,1.198273,registration_problems,2,0.621118
BKLZ,322,1.198273,change_shipping_address,1,0.310559
BKLZ,322,1.198273,check_cancellation_fee,1,0.310559
BKLZ,322,1.198273,place_order,1,0.310559
BLW,309,1.149896,review,23,7.443366
BLW,309,1.149896,check_refund_policy,21,6.796117
BLW,309,1.149896,delivery_period,20,6.472492
BLW,309,1.149896,set_up_shipping_address,19,6.148867
BLW,309,1.149896,track_refund,19,6.148867
BLW,309,1.149896,contact_customer_service,18,5.825243
BLW,309,1.149896,contact_human_agent,17,5.501618
BLW,309,1.149896,newsletter_subscription,15,4.854369
BLW,309,1.149896,recover_password,15,4.854369
BLW,309,1.149896,change_shipping_address,14,4.530744
BLW,309,1.149896,check_payment_methods,14,4.530744
BLW,309,1.149896,track_order,14,4.530744
BLW,309,1.149896,check_cancellation_fee,12,3.883495
BLW,309,1.149896,change_order,10,3.236246
BLW,309,1.149896,switch_account,10,3.236246
BLW,309,1.149896,check_invoice,9,2.912621
BLW,309,1.149896,get_invoice,9,2.912621
BLW,309,1.149896,complaint,7,2.265372
BLW,309,1.149896,create_account,7,2.265372
BLW,309,1.149896,delete_account,7,2.265372
BLW,309,1.149896,payment_issue,7,2.265372
BLW,309,1.149896,edit_account,5,1.618123
BLW,309,1.149896,get_refund,5,1.618123
BLW,309,1.149896,delivery_options,4,1.294498
BLW,309,1.149896,place_order,4,1.294498
BLW,309,1.149896,cancel_order,2,0.647249
BLW,309,1.149896,registration_problems,2,0.647249
BILZ,279,1.038255,contact_customer_service,33,11.827957
BILZ,279,1.038255,contact_human_agent,27,9.677419
BILZ,279,1.038255,review,25,8.960573
BILZ,279,1.038255,check_payment_methods,22,7.885305
BILZ,279,1.038255,complaint,21,7.526882
BILZ,279,1.038255,delivery_period,20,7.168459
BILZ,279,1.038255,newsletter_subscription,16,5.734767
BILZ,279,1.038255,recover_password,13,4.659498
BILZ,279,1.038255,check_cancellation_fee,11,3.942652
BILZ,279,1.038255,set_up_shipping_address,11,3.942652
BILZ,279,1.038255,change_order,10,3.584229
BILZ,279,1.038255,registration_problems,10,3.584229
BILZ,279,1.038255,delete_account,9,3.225806
BILZ,279,1.038255,get_refund,9,3.225806
BILZ,279,1.038255,change_shipping_address,7,2.508961
BILZ,279,1.038255,cancel_order,6,2.150538
BILZ,279,1.038255,check_invoice,5,1.792115
BILZ,279,1.038255,get_invoice,5,1.792115
BILZ,279,1.038255,switch_account,5,1.792115
BILZ,279,1.038255,check_refund_policy,4,1.433692
BILZ,279,1.038255,create_account,4,1.433692
BILZ,279,1.038255,payment_issue,2,0.716846
BILZ,279,1.038255,track_order,2,0.716846
BILZ,279,1.038255,place_order,1,0.358423
BILZ,279,1.038255,track_refund,1,0.358423
BKLM,244,0.908008,edit_account,120,49.180328
BKLM,244,0.908008,get_refund,37,15.163934
BKLM,244,0.908008,get_invoice,23,9.42623
BKLM,244,0.908008,check_invoice,21,8.606557
BKLM,244,0.908008,payment_issue,17,6.967213
BKLM,244,0.908008,registration_problems,13,5.327869
BKLM,244,0.908008,change_shipping_address,7,2.868852
BKLM,244,0.908008,check_cancellation_fee,6,2.459016
BELQ,242,0.900566,contact_human_agent,28,11.570248
BELQ,242,0.900566,get_invoice,24,9.917355
BELQ,242,0.900566,check_invoice,17,7.024793
BELQ,242,0.900566,delete_account,17,7.024793
BELQ,242,0.900566,recover_password,15,6.198347
BELQ,242,0.900566,set_up_shipping_address,14,5.785124
BELQ,242,0.900566,review,13,5.371901
BELQ,242,0.900566,registration_problems,12,4.958678
BELQ,242,0.900566,get_refund,11,4.545455
BELQ,242,0.900566,newsletter_subscription,11,4.545455
BELQ,242,0.900566,check_cancellation_fee,9,3.719008
BELQ,242,0.900566,create_account,9,3.719008
BELQ,242,0.900566,change_shipping_address,8,3.305785
BELQ,242,0.900566,complaint,7,2.892562
BELQ,242,0.900566,edit_account,7,2.892562
BELQ,242,0.900566,track_refund,7,2.892562
BELQ,242,0.900566,check_payment_methods,5,2.066116
BELQ,242,0.900566,delivery_period,4,1.652893
BELQ,242,0.900566,switch_account,4,1.652893
BELQ,242,0.900566,cancel_order,3,1.239669
BELQ,242,0.900566,contact_customer_service,3,1.239669
BELQ,242,0.900566,delivery_options,3,1.239669
BELQ,242,0.900566,payment_issue,3,1.239669
BELQ,242,0.900566,place_order,3,1.239669
BELQ,242,0.900566,check_refund_policy,2,0.826446
BELQ,242,0.900566,track_order,2,0.826446
BELQ,242,0.900566,change_order,1,0.413223
BILMQ,230,0.855909,payment_issue,38,16.521739
BILMQ,230,0.855909,place_order,38,16.521739
BILMQ,230,0.855909,get_refund,31,13.478261
BILMQ,230,0.855909,check_cancellation_fee,30,13.043478
BILMQ,230,0.855909,registration_problems,23,10.0
BILMQ,230,0.855909,change_order,17,7.391304
BILMQ,230,0.855909,track_refund,13,5.652174
BILMQ,230,0.855909,get_invoice,11,4.782609
BILMQ,230,0.855909,check_invoice,9,3.913043
BILMQ,230,0.855909,delivery_options,9,3.913043
BILMQ,230,0.855909,edit_account,6,2.608696
BILMQ,230,0.855909,create_account,4,1.73913
BILMQ,230,0.855909,delete_account,1,0.434783
BLMQZ,198,0.736826,place_order,44,22.222222
BLMQZ,198,0.736826,payment_issue,40,20.20202
BLMQZ,198,0.736826,registration_problems,29,14.646465
BLMQZ,198,0.736826,check_cancellation_fee,17,8.585859
